epoch,train_loss,val_auc,time_sec
0,0.637726,0.64881,3.0
1,0.583327,0.796541,2.29
2,0.511652,0.761186,2.33
3,0.461065,0.79767,2.34
4,0.433229,0.856527,2.31
5,0.390753,0.861299,2.31
6,0.38985,0.859503,2.31
7,0.362659,0.886032,2.32
8,0.371518,0.912972,2.32
9,0.362204,0.905839,2.31
10,0.311372,0.902863,2.32
11,0.323678,0.912151,2.35
12,0.305748,0.923953,2.32
13,0.292265,0.938218,2.32
14,0.281059,0.923594,2.35
15,0.278878,0.904813,2.36
16,0.269698,0.9043,2.36
17,0.251573,0.915486,2.35
18,0.255508,0.910304,2.33
19,0.227091,0.882287,2.28
20,0.244502,0.925133,2.3
21,0.243034,0.921439,2.28
22,0.218992,0.91759,2.28
23,0.221142,0.919489,2.27
