epoch,train_loss,val_auc,time_sec
0,0.647491,0.580123,3.66
1,0.610058,0.580307,3.24
2,0.585556,0.523533,3.38
3,0.568882,0.492074,3.39
4,0.570395,0.503318,3.4
5,0.540642,0.445929,3.4
6,0.527816,0.45914,3.39
7,0.521327,0.52341,3.39
8,0.513257,0.59106,3.43
9,0.495584,0.643963,3.4
10,0.49438,0.677696,3.4
11,0.484671,0.715545,3.39
12,0.46016,0.724946,3.39
13,0.460592,0.76427,3.39
14,0.44793,0.770661,3.38
15,0.44248,0.782396,3.38
16,0.454504,0.769677,3.37
17,0.450026,0.773671,3.38
18,0.440017,0.78467,3.38
19,0.444744,0.788233,3.38
20,0.429155,0.785038,3.37
21,0.432595,0.788356,3.37
22,0.417645,0.785837,3.39
23,0.415106,0.79063,3.37
24,0.427923,0.795422,3.39
25,0.412216,0.793641,3.4
26,0.397463,0.782581,3.37
27,0.426851,0.789339,3.4
28,0.38919,0.790077,3.37
29,0.381184,0.793641,3.38
30,0.393055,0.797204,3.39
31,0.40794,0.797266,3.4
32,0.386887,0.795115,3.4
33,0.403192,0.793641,3.43
34,0.390331,0.793886,3.38
35,0.382841,0.794501,3.39
36,0.388112,0.795484,3.39
37,0.378146,0.79874,3.37
38,0.371836,0.797389,3.43
39,0.391512,0.798495,3.38
40,0.376616,0.797757,3.39
41,0.376934,0.796713,3.38
42,0.353114,0.797266,3.41
43,0.364507,0.797081,3.41
44,0.390524,0.797143,3.39
45,0.379848,0.799232,3.4
46,0.387866,0.797819,3.4
47,0.380671,0.797512,3.38
48,0.371578,0.796897,3.4
49,0.379117,0.796959,3.46
