epoch,train_loss,val_auc,time_sec
0,0.660366,0.639624,13.15
1,0.64769,0.649938,12.87
2,0.637567,0.56876,12.87
3,0.63559,0.724908,12.88
4,0.606111,0.825688,12.87
5,0.562226,0.872947,12.85
6,0.548342,0.872845,12.92
7,0.547574,0.891985,12.9
8,0.483786,0.89024,12.91
9,0.474468,0.851344,12.92
10,0.523099,0.876642,12.91
11,0.473059,0.889009,12.92
12,0.462828,0.873974,12.92
13,0.451862,0.896398,12.91
14,0.433395,0.89881,12.91
15,0.447273,0.863249,12.91
16,0.43615,0.882902,12.91
17,0.436663,0.87813,12.91
18,0.414164,0.881055,12.91
19,0.418057,0.895679,12.92
20,0.412331,0.890189,12.92
21,0.41558,0.880285,12.92
22,0.402246,0.880747,12.92
23,0.407155,0.880388,12.92
24,0.396097,0.868227,12.92
