epoch,train_loss,val_auc,time_sec
0,0.646726,0.597659,2.95
1,0.568526,0.686077,2.32
2,0.520575,0.739313,2.33
3,0.458103,0.829587,2.31
4,0.399793,0.800685,2.3
5,0.41292,0.804824,2.33
6,0.394802,0.799615,2.35
7,0.369442,0.850781,2.37
8,0.352412,0.873475,2.37
9,0.324005,0.866267,2.34
10,0.329773,0.858703,2.36
11,0.320796,0.879826,2.38
12,0.286308,0.874831,2.35
13,0.299594,0.877328,2.38
14,0.277906,0.901948,2.42
15,0.254682,0.911511,2.4
16,0.253722,0.89838,2.36
17,0.233928,0.894241,2.37
18,0.23589,0.904446,2.42
19,0.24608,0.899665,2.42
20,0.225759,0.896025,2.38
21,0.230392,0.892742,2.42
22,0.207079,0.882609,2.41
23,0.203347,0.903019,2.4
24,0.200539,0.874117,2.35
25,0.189585,0.894098,2.37
