epoch,train_loss,val_score,time_sec
0,1.152159,0.61857,6.67
1,1.064354,0.660193,5.2
2,1.012187,0.63307,5.23
3,0.951427,0.690925,5.05
4,0.934216,0.673139,4.92
5,0.906135,0.677503,5.02
6,0.879595,0.700772,4.79
7,0.864082,0.69132,4.77
8,0.829879,0.712238,4.79
9,0.819598,0.72798,4.83
10,0.798755,0.728015,4.89
11,0.801103,0.737744,4.89
12,0.772702,0.7622,4.9
13,0.760511,0.730224,4.84
14,0.770866,0.760924,4.82
15,0.748356,0.744243,4.87
16,0.715741,0.730948,4.98
17,0.72452,0.771308,4.94
18,0.705383,0.761918,4.95
19,0.697403,0.742711,5.09
20,0.662295,0.776066,5.25
21,0.637594,0.757499,5.16
22,0.657555,0.726199,5.08
23,0.628748,0.743265,5.02
24,0.620465,0.736666,4.98
25,0.591873,0.734996,4.94
26,0.586483,0.752919,5.07
27,0.540506,0.749408,5.04
28,0.549,0.755589,4.95
29,0.51391,0.756215,5.0
30,0.5274,0.76629,4.92
