epoch,train_loss,val_score,time_sec
0,1.073662,0.532961,4.37
1,1.033918,0.588066,3.4
2,0.965996,0.630272,3.38
3,0.908078,0.67436,3.42
4,0.867606,0.683151,3.39
5,0.841245,0.714381,3.42
6,0.791294,0.679546,3.4
7,0.764154,0.717984,3.41
8,0.772352,0.717273,3.48
9,0.746253,0.719418,3.48
10,0.740627,0.728857,3.46
11,0.703292,0.741172,3.47
12,0.684375,0.718326,3.49
13,0.669811,0.731195,3.49
14,0.652752,0.72446,3.47
15,0.63449,0.736211,3.5
16,0.624648,0.735755,3.4
17,0.615208,0.740437,3.38
18,0.572819,0.758447,3.4
19,0.558436,0.751593,3.38
20,0.541819,0.722943,3.37
21,0.522176,0.718455,3.37
22,0.495463,0.734983,3.38
23,0.503966,0.728844,3.35
24,0.462996,0.72429,3.37
25,0.445123,0.724108,3.37
26,0.44437,0.729724,3.35
27,0.399893,0.736488,3.34
28,0.377697,0.725076,3.34
