epoch,train_loss,val_auc,time_sec
0,0.645527,0.564257,2.9
1,0.578631,0.754853,2.28
2,0.503534,0.761729,2.27
3,0.441036,0.787715,2.29
4,0.407374,0.829323,2.28
5,0.398605,0.810111,2.31
6,0.357151,0.855561,2.27
7,0.343487,0.850859,2.27
8,0.344991,0.854702,2.32
9,0.310746,0.832659,2.28
10,0.279352,0.839282,2.31
11,0.283932,0.865521,2.21
12,0.300438,0.877351,2.22
13,0.264977,0.86906,2.21
14,0.244277,0.861325,2.28
15,0.244956,0.877654,2.26
16,0.243891,0.848079,2.25
17,0.256379,0.859302,2.25
18,0.22067,0.871537,2.22
19,0.208931,0.874621,2.27
20,0.192682,0.88549,2.27
21,0.195942,0.86183,2.29
22,0.178838,0.866734,2.25
23,0.181595,0.851668,2.24
24,0.164119,0.844237,2.23
25,0.145904,0.853134,2.24
26,0.162681,0.864611,2.24
27,0.13141,0.869312,2.25
28,0.124185,0.8727,2.21
29,0.13885,0.872396,2.19
30,0.131275,0.868655,2.18
