epoch,train_loss,val_auc,time_sec
0,0.661298,0.536073,13.25
1,0.62331,0.446326,3.45
2,0.604081,0.379413,3.37
3,0.587413,0.448173,3.35
4,0.597096,0.517857,3.35
5,0.562042,0.504875,3.34
6,0.547972,0.554495,3.34
7,0.544159,0.609709,3.36
8,0.53104,0.656558,3.37
9,0.520961,0.679752,3.35
10,0.516904,0.766472,3.34
11,0.50269,0.790589,3.35
12,0.498425,0.79608,3.35
13,0.478155,0.814809,3.33
14,0.477619,0.828715,3.34
15,0.463855,0.825636,3.33
16,0.486188,0.814347,3.33
17,0.476519,0.807933,3.33
18,0.440774,0.819992,3.36
19,0.443698,0.836617,3.32
20,0.466812,0.833077,3.33
21,0.448448,0.839901,3.34
22,0.449297,0.833282,3.33
23,0.434792,0.834462,3.33
24,0.433247,0.845597,3.33
25,0.423699,0.838978,3.35
26,0.421167,0.840876,3.33
27,0.428428,0.841287,3.34
28,0.425065,0.839901,3.34
29,0.427552,0.841903,3.32
30,0.429941,0.842211,3.33
31,0.412507,0.840415,3.33
32,0.403274,0.841236,3.32
33,0.403593,0.836258,3.32
34,0.40334,0.838619,3.31
