epoch,train_loss,val_score,time_sec
0,1.103351,0.529476,4.5
1,1.037647,0.544533,3.38
2,1.032118,0.601337,3.36
3,0.986066,0.646688,3.38
4,0.975789,0.6479,3.38
5,0.941589,0.685043,3.36
6,0.920926,0.682791,3.36
7,0.927763,0.667587,3.42
8,0.908419,0.699769,3.39
9,0.908936,0.70481,3.45
10,0.882795,0.687581,3.42
11,0.875696,0.695107,3.43
12,0.878602,0.695065,3.4
13,0.860757,0.686869,3.4
14,0.855545,0.696473,3.42
15,0.835638,0.705284,3.42
16,0.82238,0.707138,3.44
17,0.828019,0.708722,3.34
18,0.824817,0.701794,3.28
19,0.807252,0.706631,3.3
20,0.800281,0.7135,3.3
21,0.805638,0.713966,3.29
22,0.79781,0.725171,3.28
23,0.789938,0.726714,3.32
24,0.776131,0.717018,3.28
25,0.772528,0.718541,3.28
26,0.778981,0.738433,3.32
27,0.774991,0.730944,3.32
28,0.755835,0.722396,3.35
29,0.765672,0.726632,3.39
30,0.744972,0.744116,3.41
31,0.752414,0.731093,3.32
32,0.74214,0.73125,3.34
33,0.738928,0.735756,3.31
34,0.734714,0.740659,3.35
35,0.760554,0.741831,3.29
36,0.719833,0.734186,3.26
37,0.725968,0.74461,3.27
38,0.724024,0.746373,3.22
39,0.727956,0.736378,3.23
40,0.716979,0.732028,3.19
41,0.720819,0.742127,3.19
42,0.718205,0.730041,3.21
43,0.717098,0.73897,3.22
44,0.713058,0.738386,3.33
45,0.722396,0.745177,3.37
46,0.717003,0.743695,3.43
47,0.712465,0.737464,3.44
48,0.725728,0.745319,3.43
