epoch,train_loss,val_score,time_sec
0,1.029555,0.623238,3.65
1,0.952059,0.720058,2.91
2,0.90325,0.710795,2.92
3,0.88934,0.717582,2.91
4,0.869336,0.734533,2.91
5,0.863261,0.729214,2.91
6,0.858885,0.702841,2.92
7,0.855876,0.722791,2.91
8,0.849829,0.736228,2.91
9,0.836428,0.734207,2.95
10,0.832,0.731105,2.91
11,0.808797,0.737655,2.91
12,0.823491,0.744447,2.91
13,0.814329,0.7568,2.92
14,0.78671,0.779843,2.92
15,0.77638,0.790943,2.91
16,0.758383,0.80071,2.95
17,0.744154,0.787943,2.95
18,0.730359,0.797186,2.95
19,0.723836,0.793622,2.95
20,0.704603,0.79619,2.95
21,0.692111,0.788433,2.95
22,0.686818,0.797133,2.95
23,0.656064,0.805928,2.95
24,0.648991,0.803248,2.95
25,0.642352,0.809743,2.95
26,0.615708,0.783737,2.94
27,0.603155,0.796565,2.95
28,0.588169,0.786125,2.95
29,0.575139,0.783519,2.94
30,0.53971,0.786196,2.94
31,0.518273,0.788523,2.95
32,0.498527,0.791598,2.95
33,0.459244,0.782397,2.95
34,0.448554,0.775655,2.95
35,0.431304,0.786179,2.95
