epoch,train_loss,val_auc,time_sec
0,0.666321,0.539434,3.89
1,0.614163,0.496208,3.21
2,0.59661,0.53094,3.31
3,0.579433,0.487361,3.32
4,0.577228,0.487968,3.32
5,0.569505,0.502679,3.31
6,0.55108,0.524166,3.37
7,0.554716,0.559858,3.3
8,0.538345,0.594793,3.34
9,0.534543,0.649191,3.31
10,0.527841,0.687968,3.31
11,0.484348,0.722497,3.32
12,0.505382,0.736299,3.31
13,0.508863,0.729727,3.35
14,0.492039,0.729373,3.34
15,0.451373,0.773559,3.31
16,0.459744,0.782305,3.31
17,0.449032,0.798635,3.32
18,0.452623,0.796107,3.32
19,0.451629,0.806825,3.32
20,0.444622,0.797624,3.31
21,0.460912,0.790293,3.3
22,0.432429,0.802932,3.3
23,0.448751,0.814611,3.3
24,0.433913,0.822144,3.31
25,0.417741,0.828817,3.3
26,0.417718,0.827149,3.3
27,0.407701,0.820273,3.32
28,0.414143,0.824166,3.31
29,0.402529,0.829171,3.31
30,0.421144,0.832609,3.31
31,0.399949,0.827755,3.3
32,0.384089,0.836097,3.31
33,0.393505,0.83362,3.3
34,0.414157,0.836502,3.3
35,0.385503,0.834934,3.35
36,0.395172,0.836603,3.3
37,0.400858,0.840243,3.41
38,0.382453,0.842265,3.34
35,0.390634,0.837513,4.25
39,0.389801,0.842063,3.27
36,0.401205,0.837209,3.27
40,0.388992,0.841658,3.27
37,0.389087,0.835945,3.26
41,0.38848,0.842619,3.27
38,0.391701,0.838574,3.28
42,0.409553,0.842518,3.26
39,0.388788,0.838524,3.29
43,0.391838,0.843529,3.26
40,0.37736,0.840394,3.28
44,0.397254,0.843327,3.27
41,0.358292,0.838018,3.24
45,0.393318,0.844135,3.22
42,0.386194,0.837968,3.27
46,0.387607,0.844894,3.26
43,0.37918,0.838423,3.29
47,0.382471,0.844237,3.29
44,0.357964,0.838322,3.28
48,0.390495,0.843377,3.3
45,0.355356,0.84004,3.32
49,0.376261,0.844034,3.27
46,0.348457,0.838271,3.25
47,0.372634,0.838878,3.33
48,0.370114,0.837209,3.33
49,0.364661,0.837664,3.36
