epoch,train_loss,val_score,time_sec
0,1.187609,0.690967,6.6
1,0.963917,0.83284,5.88
2,0.800663,0.838258,5.88
3,0.739119,0.86914,5.87
4,0.676004,0.878204,5.87
5,0.65265,0.892671,5.89
6,0.628612,0.894449,5.88
7,0.602633,0.89853,5.88
8,0.575325,0.902718,5.87
9,0.571399,0.900122,5.86
10,0.545021,0.903261,5.87
11,0.533179,0.90634,5.86
12,0.513978,0.906296,5.87
13,0.511016,0.90743,5.86
14,0.483317,0.906159,5.86
15,0.475129,0.911119,5.87
16,0.455556,0.908095,5.88
17,0.444771,0.908993,5.88
18,0.423842,0.90838,5.88
19,0.424867,0.911003,5.89
20,0.398437,0.905067,5.85
21,0.41096,0.914648,5.86
22,0.390893,0.903955,5.86
23,0.377455,0.908572,5.85
24,0.353984,0.904182,5.89
25,0.360094,0.912696,5.87
26,0.334555,0.897158,5.88
27,0.318198,0.893925,5.87
28,0.303159,0.91068,5.88
29,0.276896,0.904841,5.88
30,0.281229,0.905221,5.87
31,0.268512,0.903345,5.87
