epoch,train_loss,val_auc,time_sec
0,0.694409,0.712903,4.7
1,0.537455,0.753272,3.64
2,0.495439,0.780983,3.59
3,0.46144,0.787158,3.73
4,0.449827,0.798495,3.73
5,0.41975,0.800276,3.76
6,0.387558,0.804578,3.74
7,0.383285,0.830814,3.72
8,0.377728,0.822765,3.76
9,0.341953,0.833763,3.75
10,0.335473,0.854409,3.54
11,0.32713,0.831736,3.54
12,0.306869,0.836344,3.55
13,0.292754,0.842673,3.62
14,0.296901,0.850476,3.62
15,0.279136,0.84937,3.61
16,0.286967,0.840154,3.78
17,0.269205,0.833763,3.76
18,0.265443,0.852934,3.44
19,0.266037,0.830384,3.47
20,0.241119,0.820737,3.41
