epoch,train_loss,val_score,time_sec
0,1.114161,0.502219,20.54
1,1.069742,0.508416,19.97
2,1.05068,0.574897,20.0
3,1.001359,0.635654,19.98
4,0.962238,0.69268,19.98
5,0.926544,0.687506,20.1
6,0.938624,0.696857,19.95
7,0.917647,0.677213,19.95
8,0.90391,0.714109,19.95
9,0.895803,0.719725,20.13
10,0.89127,0.749368,20.06
11,0.868914,0.750561,19.96
12,0.876419,0.7471,19.96
13,0.875654,0.765865,19.96
14,0.851757,0.743805,19.96
15,0.84051,0.732529,19.95
16,0.841364,0.755017,19.98
17,0.836833,0.758233,20.02
18,0.834628,0.793762,20.02
19,0.826036,0.780258,20.01
20,0.816196,0.788372,20.01
21,0.793957,0.787152,20.02
22,0.81543,0.780385,20.02
23,0.786705,0.793582,20.01
24,0.808372,0.787758,20.01
25,0.768625,0.775334,20.12
26,0.773139,0.792291,19.98
27,0.780332,0.778328,19.97
28,0.760926,0.797748,19.97
29,0.755695,0.799924,19.96
30,0.75748,0.813149,20.17
31,0.739029,0.803092,19.95
32,0.740207,0.806282,19.95
33,0.749031,0.802921,19.96
34,0.742682,0.791769,19.96
35,0.722252,0.804003,19.95
36,0.728986,0.796859,19.94
37,0.711272,0.798045,19.95
38,0.705772,0.793713,19.95
39,0.707918,0.798742,19.94
40,0.700944,0.803971,20.0
