epoch,train_loss,val_auc,time_sec
0,0.572263,0.80541,2.32
1,0.413203,0.845703,1.87
2,0.384621,0.852679,1.88
3,0.367452,0.862841,1.87
4,0.334145,0.871461,1.87
5,0.335867,0.857331,1.87
6,0.332976,0.858291,1.87
7,0.31997,0.873711,1.87
8,0.313489,0.877199,1.87
9,0.28994,0.813246,1.88
10,0.2866,0.874419,1.87
11,0.292235,0.875581,1.87
12,0.275459,0.885945,1.87
13,0.247585,0.88817,1.87
14,0.279466,0.871183,1.88
15,0.269604,0.880334,1.86
16,0.239393,0.885895,1.87
17,0.266218,0.881143,1.86
18,0.213282,0.878008,1.87
19,0.202396,0.904297,1.87
20,0.198469,0.880131,1.87
21,0.186626,0.890445,1.87
22,0.178431,0.874065,1.87
23,0.186565,0.888625,1.88
24,0.156326,0.849848,1.86
25,0.169708,0.880182,1.87
26,0.146028,0.879778,1.87
27,0.116556,0.860667,1.87
28,0.141727,0.869616,1.87
29,0.101455,0.874722,1.87
