epoch,train_loss,val_score,time_sec
0,1.292986,0.694717,14.49
1,1.128098,0.754093,13.01
2,1.04831,0.778147,13.09
3,0.960323,0.811533,12.77
4,0.898369,0.823362,12.77
5,0.865561,0.835585,12.89
6,0.832803,0.846844,13.2
7,0.794447,0.860588,12.87
8,0.786271,0.882461,12.49
9,0.745681,0.875977,12.46
10,0.727969,0.882757,12.57
11,0.69962,0.889846,12.6
12,0.694273,0.892501,13.37
13,0.644978,0.898979,12.81
14,0.650387,0.896131,12.67
15,0.618007,0.899944,13.36
16,0.609334,0.896692,12.82
17,0.581717,0.898638,12.8
18,0.568443,0.902811,12.68
19,0.556475,0.897539,13.05
20,0.542121,0.888791,12.44
21,0.516796,0.895355,12.73
22,0.494664,0.896316,12.78
23,0.480897,0.897885,12.84
24,0.45444,0.899469,12.57
25,0.4434,0.898689,12.11
26,0.438476,0.903364,12.25
27,0.417045,0.894941,12.28
28,0.39865,0.904508,12.46
29,0.37078,0.898437,12.7
30,0.362274,0.894246,13.17
31,0.34584,0.894241,13.19
32,0.328985,0.887593,12.69
33,0.304845,0.891554,12.52
34,0.305006,0.888951,10.93
35,0.281159,0.893594,11.13
36,0.301702,0.893116,11.2
37,0.274136,0.891896,11.07
38,0.271639,0.894393,10.99
