epoch,train_loss,val_score,time_sec
0,1.101267,0.488385,3.31
1,1.05831,0.475829,2.38
2,1.04788,0.468194,2.5
3,1.02987,0.51272,2.47
4,1.019049,0.523648,2.55
5,1.005982,0.578635,2.63
6,0.988532,0.599535,2.67
7,0.972747,0.612946,2.63
8,0.966594,0.611135,2.66
9,0.946723,0.622823,2.69
10,0.934535,0.631617,2.58
11,0.931059,0.634992,2.57
12,0.936113,0.636934,2.52
13,0.912333,0.639679,2.49
14,0.915959,0.65169,2.5
15,0.907868,0.665134,2.53
16,0.906095,0.655258,2.62
17,0.90599,0.669094,2.52
18,0.90582,0.674065,2.55
19,0.891654,0.670812,2.62
20,0.887471,0.673457,2.63
21,0.870049,0.670129,2.74
22,0.872794,0.68518,2.7
23,0.875419,0.680746,2.73
24,0.880724,0.684574,2.68
25,0.858021,0.691016,2.68
26,0.879477,0.683539,2.71
27,0.869564,0.699039,2.55
28,0.865682,0.707692,2.44
29,0.854836,0.709954,2.43
30,0.851473,0.71309,2.46
31,0.856221,0.707203,2.56
32,0.854165,0.710587,2.55
33,0.857085,0.716054,2.54
34,0.833146,0.712334,2.56
35,0.847695,0.713801,2.54
36,0.842376,0.71493,2.58
37,0.849519,0.713228,2.56
38,0.840724,0.711667,2.57
39,0.840819,0.711329,2.54
40,0.844063,0.711726,2.52
41,0.82307,0.711773,2.52
42,0.829663,0.712758,2.49
43,0.824512,0.712053,2.51
