epoch,train_loss,val_score,time_sec
0,1.3644,0.156158,7.02
1,0.527131,0.274138,5.33
2,0.45091,0.280472,5.3
3,0.379819,0.391223,5.4
4,0.363348,0.395874,5.42
5,0.342933,0.439697,5.45
6,0.315758,0.480004,5.27
7,0.306805,0.557118,5.31
8,0.285569,0.523329,5.3
9,0.270801,0.544789,5.24
10,0.266786,0.56157,5.33
11,0.249396,0.572589,5.38
12,0.240135,0.57896,5.38
13,0.24983,0.598438,5.31
14,0.248626,0.556971,5.38
15,0.245901,0.588989,5.32
16,0.240806,0.549062,5.32
17,0.228052,0.58245,5.35
18,0.223204,0.423346,5.25
19,0.238745,0.578401,5.23
20,0.211103,0.538453,5.38
21,0.22736,0.580824,5.41
22,0.218506,0.581599,5.39
23,0.211437,0.563769,5.29
