epoch,train_loss,val_score,time_sec
0,1.276566,0.682021,12.99
1,1.115113,0.707383,12.77
2,1.031961,0.735272,13.05
3,0.95361,0.797028,12.88
4,0.907815,0.808744,12.58
5,0.858642,0.817323,12.73
6,0.829768,0.820828,12.8
7,0.787678,0.833295,12.59
8,0.753621,0.823789,12.15
9,0.742744,0.838264,12.21
10,0.713426,0.843188,12.05
11,0.704727,0.850083,12.13
12,0.660097,0.853684,12.16
13,0.654018,0.854356,12.74
14,0.622944,0.855925,12.82
15,0.59779,0.864758,12.57
16,0.603762,0.862258,12.46
17,0.585523,0.857028,12.51
18,0.548961,0.874489,12.76
19,0.546606,0.861485,12.64
20,0.524946,0.866569,12.76
21,0.505898,0.865752,12.9
22,0.468335,0.861869,12.86
23,0.464461,0.848971,12.79
24,0.463757,0.86507,12.62
25,0.441217,0.868871,12.62
26,0.419937,0.861072,13.06
27,0.402769,0.857633,13.04
28,0.39721,0.858753,12.86
