epoch,train_loss,val_score,time_sec
0,1.143524,0.61887,6.43
1,1.050251,0.626849,4.98
2,0.990244,0.658633,4.91
3,0.989898,0.624333,5.02
4,0.945498,0.663924,5.07
5,0.918126,0.666261,5.04
6,0.917384,0.686598,4.94
7,0.858104,0.699543,4.95
8,0.847083,0.701282,5.03
9,0.830861,0.724296,4.93
10,0.827432,0.73112,4.98
11,0.792026,0.735679,4.99
12,0.797721,0.732663,4.92
13,0.755258,0.745283,4.91
14,0.782957,0.72904,4.93
15,0.738186,0.72974,4.91
16,0.74291,0.720942,4.92
17,0.717713,0.721926,4.94
18,0.692101,0.720967,5.03
19,0.690294,0.712996,4.9
20,0.671628,0.721425,4.89
21,0.662543,0.7118,4.95
22,0.639595,0.714009,5.17
23,0.627078,0.71127,4.94
