epoch,train_loss,val_auc,time_sec
0,0.690071,0.692601,13.31
1,0.63145,0.710908,13.03
2,0.615907,0.821765,13.05
3,0.575008,0.839372,13.05
4,0.548772,0.848335,13.05
5,0.500462,0.85717,13.03
6,0.479347,0.871218,13.04
7,0.477413,0.858632,13.04
8,0.461553,0.86804,13.04
9,0.451715,0.872998,13.05
10,0.440811,0.859713,13.04
11,0.444183,0.838609,13.04
12,0.467821,0.878846,13.04
13,0.429554,0.883486,13.05
14,0.429019,0.875795,13.05
15,0.424335,0.871726,13.05
16,0.408016,0.868294,13.05
17,0.424118,0.883677,13.05
18,0.414404,0.872807,13.05
19,0.390168,0.874333,13.05
20,0.400504,0.872298,13.05
21,0.401734,0.872235,13.05
22,0.401036,0.881007,13.05
23,0.385445,0.864607,13.06
24,0.40824,0.877384,13.05
25,0.372912,0.878019,13.05
26,0.382419,0.869629,13.05
27,0.381293,0.87179,13.06
