epoch,train_loss,val_auc,time_sec
0,0.66428,0.595518,13.39
1,0.642132,0.657604,13.09
2,0.610403,0.591094,13.09
3,0.591369,0.832156,13.07
4,0.606896,0.858274,13.09
5,0.586119,0.847784,13.09
6,0.532636,0.848641,13.09
7,0.468082,0.889745,13.09
8,0.471316,0.884179,13.1
9,0.453191,0.89103,13.09
10,0.449275,0.914151,13.09
11,0.44557,0.908085,13.08
12,0.449124,0.907943,13.09
13,0.419588,0.899593,13.09
14,0.410611,0.900164,13.09
15,0.416938,0.906587,13.09
16,0.417728,0.892671,13.1
17,0.4176,0.909869,13.09
18,0.425905,0.918932,13.09
19,0.412592,0.91358,13.08
20,0.411529,0.906444,13.08
21,0.395228,0.914651,13.09
22,0.378325,0.900806,13.09
23,0.393555,0.913223,13.09
24,0.379475,0.91201,13.09
25,0.384238,0.915007,13.08
26,0.358412,0.909227,13.08
27,0.363042,0.918362,13.08
28,0.372153,0.908299,13.08
