epoch,train_loss,val_auc,time_sec
0,0.656019,0.749555,4.98
1,0.541114,0.771548,3.97
2,0.488473,0.815472,3.99
3,0.466602,0.789156,3.83
4,0.404065,0.805873,3.85
5,0.406431,0.852403,3.96
6,0.389576,0.853038,3.96
7,0.403161,0.818332,3.6
8,0.383417,0.847254,3.63
9,0.366189,0.834922,3.67
10,0.327327,0.84236,3.62
11,0.327394,0.856789,3.61
12,0.314596,0.861111,3.58
13,0.328347,0.868357,3.62
14,0.284298,0.888317,3.66
15,0.293837,0.861683,3.94
16,0.279075,0.86823,4.02
17,0.243173,0.85895,3.9
18,0.253356,0.860221,3.98
19,0.24841,0.866006,4.0
20,0.266809,0.855772,3.97
21,0.228934,0.853865,3.91
22,0.222546,0.866895,3.91
23,0.227053,0.867913,3.79
24,0.194564,0.866959,3.8
