epoch,train_loss,val_auc,time_sec
0,0.653639,0.52943,3.29
1,0.587483,0.634312,2.65
2,0.547793,0.673659,2.63
3,0.529009,0.748792,2.61
4,0.507313,0.768942,2.64
5,0.446723,0.771803,2.65
6,0.480259,0.797038,2.62
7,0.417404,0.78941,2.65
8,0.408507,0.797928,2.63
9,0.422326,0.824625,2.52
10,0.404899,0.805683,2.59
11,0.384401,0.809052,2.49
12,0.372166,0.826659,2.31
13,0.381465,0.830727,2.38
14,0.358476,0.844203,2.36
15,0.387573,0.867595,2.36
16,0.364548,0.854628,2.3
17,0.357695,0.852403,2.39
18,0.345056,0.863781,2.3
19,0.345152,0.861556,2.3
20,0.34266,0.857742,2.36
21,0.340534,0.855708,2.32
22,0.321229,0.846555,2.36
23,0.324424,0.852784,2.35
24,0.315256,0.846237,2.49
25,0.306391,0.853865,2.53
