epoch,train_loss,val_auc,time_sec
0,0.655565,0.491037,2.59
1,0.602407,0.501843,1.88
2,0.587977,0.501843,1.91
3,0.587324,0.47254,1.96
4,0.562337,0.471396,1.99
5,0.561309,0.515192,1.97
6,0.539524,0.496568,1.91
7,0.52441,0.515637,1.95
8,0.50946,0.616133,1.95
9,0.512082,0.65211,1.76
10,0.484883,0.6851,1.78
11,0.48788,0.72629,1.8
12,0.478359,0.737986,1.79
13,0.4686,0.759535,1.83
14,0.460694,0.765573,1.75
15,0.443679,0.761315,1.82
16,0.449643,0.77301,1.81
17,0.466075,0.775426,1.82
18,0.454482,0.773392,1.81
19,0.426941,0.783562,1.79
20,0.419207,0.795703,1.8
21,0.423568,0.796784,1.78
22,0.419123,0.792779,1.79
23,0.401833,0.798246,1.82
24,0.412368,0.795004,1.82
25,0.39661,0.803267,1.91
26,0.418758,0.802822,1.98
27,0.406249,0.803331,1.99
28,0.385592,0.803649,1.95
29,0.405859,0.809687,1.96
30,0.392667,0.814327,1.9
31,0.394958,0.811912,1.94
32,0.404484,0.814391,1.99
33,0.383865,0.809878,1.97
34,0.379894,0.812611,1.9
35,0.374484,0.814963,1.93
36,0.380102,0.813946,1.91
37,0.378758,0.815599,1.98
38,0.36907,0.814137,1.95
39,0.385296,0.817188,1.9
40,0.3586,0.816997,1.93
41,0.385495,0.819095,1.78
42,0.365482,0.819286,1.87
43,0.37095,0.82132,1.96
44,0.382549,0.821828,1.91
45,0.377072,0.819985,1.96
46,0.380635,0.816489,1.9
47,0.386269,0.817633,1.96
48,0.366487,0.820303,1.93
49,0.372469,0.819095,1.88
