epoch,train_loss,val_auc,time_sec
0,0.656688,0.633877,3.14
1,0.59169,0.729628,2.35
2,0.559208,0.721059,2.39
3,0.545756,0.764009,2.46
4,0.494948,0.794078,2.47
5,0.480845,0.804598,2.46
6,0.466911,0.812038,2.36
7,0.453722,0.831076,2.42
8,0.459048,0.85119,2.4
9,0.45806,0.841287,2.42
10,0.448205,0.827791,2.46
11,0.44792,0.847752,2.45
12,0.406802,0.838465,2.46
13,0.396855,0.838311,2.42
14,0.401292,0.832204,2.47
15,0.397844,0.852473,2.37
16,0.398436,0.848984,2.36
17,0.378823,0.870998,2.32
18,0.369399,0.876693,2.25
19,0.369711,0.867867,2.24
20,0.375034,0.873461,2.21
21,0.35718,0.860632,2.23
22,0.348336,0.854064,2.28
23,0.327382,0.853705,2.26
24,0.357013,0.872024,2.3
25,0.359148,0.86561,2.26
26,0.322772,0.857964,2.21
27,0.33518,0.859657,2.33
28,0.340614,0.870587,2.43
