epoch,train_loss,val_auc,time_sec
0,0.725129,0.605359,4.46
1,0.557348,0.745501,3.39
2,0.482615,0.783165,3.44
3,0.453168,0.796461,3.44
4,0.444659,0.827755,3.43
5,0.423193,0.804044,3.75
6,0.395877,0.834176,3.81
7,0.382085,0.827705,3.75
8,0.370236,0.798938,3.68
9,0.349537,0.809403,3.64
10,0.335727,0.835895,3.69
11,0.304178,0.847674,3.69
12,0.334579,0.859808,3.68
13,0.309379,0.83458,4.04
14,0.292613,0.826542,4.04
15,0.270607,0.83726,3.94
16,0.260573,0.850859,4.0
17,0.249955,0.865521,4.06
18,0.255755,0.834328,4.06
19,0.249112,0.841507,3.97
20,0.223023,0.850607,3.55
21,0.216707,0.835035,3.57
22,0.221043,0.847371,3.49
23,0.201776,0.843225,3.52
24,0.184386,0.847068,3.55
25,0.183971,0.849899,3.56
26,0.173602,0.82179,3.5
27,0.15252,0.850101,3.47
