epoch,train_loss,val_score,time_sec
0,1.116469,0.500279,3.37
1,1.067414,0.485217,2.35
2,1.059687,0.472793,2.42
3,1.023452,0.501808,2.49
4,1.010905,0.528291,2.43
5,1.004439,0.548246,2.41
6,0.991256,0.603098,2.4
7,0.987655,0.625812,2.44
8,0.969024,0.654422,2.44
9,0.962823,0.674161,2.44
10,0.96419,0.6776,2.5
11,0.942849,0.683005,2.57
12,0.941948,0.69506,2.55
13,0.942561,0.69529,2.67
14,0.925724,0.702478,2.68
15,0.916136,0.701498,2.66
16,0.924195,0.716237,2.59
17,0.905095,0.721581,2.58
18,0.897629,0.712193,2.61
19,0.912636,0.708229,2.67
20,0.88726,0.722838,2.67
21,0.884784,0.714447,2.51
22,0.902809,0.713617,2.46
23,0.885696,0.70697,2.43
24,0.878918,0.704567,2.44
25,0.870017,0.702959,2.43
26,0.886596,0.704875,2.44
27,0.860031,0.711218,2.42
28,0.871976,0.712049,2.41
29,0.863937,0.71003,2.39
30,0.85477,0.712114,2.44
