epoch,train_loss,val_score,time_sec
0,1.25743,0.683769,14.01
1,1.110789,0.739015,12.4
2,1.034109,0.731414,12.38
3,0.961097,0.746123,12.63
4,0.917054,0.789725,12.25
5,0.863032,0.795134,12.33
6,0.807725,0.82643,12.63
7,0.788221,0.838824,12.54
8,0.757118,0.849181,12.45
9,0.736676,0.84162,12.52
10,0.703133,0.848499,12.52
11,0.683396,0.842742,12.4
12,0.655511,0.851604,12.4
13,0.622686,0.858968,12.33
14,0.617486,0.851544,12.44
15,0.599439,0.85696,12.53
16,0.579172,0.858794,12.13
17,0.559052,0.857924,12.05
18,0.547754,0.8624,12.03
19,0.533595,0.859574,12.03
20,0.510727,0.850026,12.17
21,0.49302,0.851113,12.4
22,0.486391,0.85558,12.61
23,0.47551,0.855537,12.56
24,0.434042,0.856455,12.58
25,0.426157,0.857791,12.66
26,0.414158,0.844651,12.8
27,0.404937,0.852102,12.68
28,0.387428,0.857162,12.24
