epoch,train_loss,val_score,time_sec
0,0.523405,0.3043,3.65
1,0.328638,0.312264,2.91
2,0.282336,0.489828,2.91
3,0.249855,0.507206,2.9
4,0.228468,0.537193,2.9
5,0.223156,0.51413,2.9
6,0.221615,0.484378,2.9
7,0.214831,0.520029,2.9
8,0.200384,0.508966,2.9
9,0.198213,0.528458,2.91
10,0.193535,0.493941,2.91
11,0.192822,0.537437,2.9
12,0.179071,0.521882,2.89
13,0.189584,0.533735,2.9
14,0.178006,0.52858,2.9
15,0.175706,0.472953,2.9
16,0.170956,0.528572,2.9
17,0.159699,0.521174,2.91
18,0.161268,0.519139,2.9
19,0.148801,0.530369,2.9
20,0.153386,0.529525,2.9
21,0.14149,0.537885,2.9
22,0.143036,0.542101,2.89
23,0.139684,0.570341,2.9
24,0.132231,0.52156,2.9
25,0.127455,0.534499,2.9
26,0.120953,0.541638,2.9
27,0.112573,0.515036,2.89
28,0.110949,0.551252,2.9
29,0.10861,0.514372,2.9
30,0.102761,0.537461,2.9
31,0.099729,0.558624,2.9
32,0.095112,0.4927,2.91
33,0.089691,0.574054,2.9
34,0.0873,0.538571,2.9
35,0.084029,0.549651,2.91
36,0.077152,0.541595,2.9
37,0.076473,0.524327,2.89
38,0.073805,0.555012,2.9
39,0.070455,0.546273,2.9
40,0.070879,0.559009,2.9
41,0.064173,0.560912,2.9
42,0.061785,0.548959,2.89
43,0.061621,0.544079,2.89
