epoch,train_loss,val_score,time_sec
0,0.502733,0.0,20.71
1,0.428493,0.0,20.13
2,0.438492,0.0,20.09
3,0.421671,0.0,20.09
4,0.399558,0.136461,20.09
5,0.372877,0.26849,20.08
6,0.367099,0.351804,20.08
7,0.346353,0.347668,20.07
8,0.345415,0.436972,20.07
9,0.320993,0.492059,20.06
10,0.326868,0.541069,20.04
11,0.304912,0.505462,20.05
12,0.308704,0.434145,20.04
13,0.290748,0.557199,20.04
14,0.28941,0.59867,20.05
15,0.263603,0.604834,20.04
16,0.259022,0.590626,20.06
17,0.269471,0.618823,20.06
18,0.248558,0.624635,20.05
19,0.250799,0.626497,20.05
20,0.246253,0.676123,20.04
21,0.24903,0.667629,20.08
22,0.240714,0.650707,20.11
23,0.239758,0.639523,20.11
24,0.237979,0.639368,20.11
25,0.245568,0.651458,20.1
26,0.235198,0.642339,20.1
27,0.231001,0.630388,20.1
28,0.2314,0.676243,20.1
29,0.22022,0.60816,20.1
30,0.225892,0.647223,20.08
31,0.222245,0.672225,20.08
32,0.221019,0.641215,20.08
33,0.217165,0.686545,20.08
34,0.216557,0.656436,20.08
35,0.212686,0.66709,20.06
36,0.214784,0.676126,20.06
37,0.208523,0.688456,20.06
38,0.209133,0.681814,20.06
39,0.200058,0.693963,20.07
40,0.203835,0.670487,20.05
41,0.203691,0.678493,20.05
42,0.199428,0.694061,20.06
43,0.199683,0.673248,20.06
44,0.198851,0.694048,20.06
45,0.194147,0.691115,20.1
46,0.197863,0.692737,20.11
47,0.194547,0.684371,20.11
48,0.198971,0.68442,20.14
49,0.189506,0.68442,20.11
