epoch,train_loss,val_score,time_sec
0,1.239009,0.534314,8.09
1,1.196787,0.520648,5.44
2,1.155323,0.585386,5.53
3,1.134748,0.667614,5.66
4,1.128047,0.707588,5.35
5,1.092821,0.717179,5.26
6,1.068674,0.721777,5.34
7,1.054907,0.732062,5.27
8,1.044292,0.741363,5.26
9,1.036396,0.745479,5.18
10,1.002763,0.755717,5.06
11,0.986771,0.764192,5.04
12,0.955308,0.766268,5.15
13,0.948442,0.77779,5.12
14,0.928952,0.782358,5.16
15,0.932659,0.789844,5.24
16,0.910765,0.790784,5.17
17,0.895148,0.796267,5.25
18,0.886804,0.79979,5.28
19,0.88026,0.800704,5.35
20,0.865156,0.799808,5.37
21,0.86384,0.806796,5.35
22,0.845503,0.810698,5.29
23,0.838362,0.813897,5.28
24,0.818291,0.814371,5.26
25,0.814572,0.82097,5.26
26,0.817364,0.821256,5.36
27,0.810933,0.821215,5.34
28,0.805777,0.823535,5.28
29,0.805293,0.827777,5.2
30,0.793597,0.8263,5.18
31,0.779747,0.826689,5.46
32,0.78151,0.828163,5.37
33,0.787131,0.828963,5.45
34,0.767726,0.829712,5.43
35,0.792647,0.831121,5.41
36,0.77417,0.832683,5.4
37,0.766916,0.832372,5.47
38,0.771398,0.832776,5.42
39,0.746548,0.833601,5.41
40,0.755984,0.834597,5.5
41,0.749833,0.834755,5.45
42,0.757978,0.835695,5.48
43,0.76157,0.834722,5.38
44,0.761294,0.834531,5.28
45,0.754616,0.834284,5.28
46,0.753799,0.833924,5.31
47,0.763621,0.834102,5.37
48,0.752548,0.834404,5.22
49,0.750413,0.83464,5.25
