epoch,train_loss,val_auc,time_sec
0,0.659472,0.656462,3.14
1,0.595063,0.645829,2.43
2,0.561231,0.68729,2.45
3,0.535701,0.726825,2.49
4,0.504379,0.739528,2.44
5,0.498479,0.756369,2.36
6,0.475947,0.757368,2.38
7,0.454772,0.775922,2.4
8,0.439013,0.796832,2.56
9,0.464396,0.774281,2.57
10,0.426536,0.801613,2.63
11,0.419376,0.805538,2.57
12,0.407826,0.833869,2.56
13,0.392527,0.803968,2.54
14,0.413815,0.825162,2.52
15,0.397829,0.823878,2.59
16,0.395738,0.844073,2.64
17,0.378653,0.82659,2.47
18,0.385114,0.841219,2.41
19,0.402127,0.82923,2.44
20,0.412235,0.822807,2.42
21,0.378447,0.838721,2.42
22,0.395677,0.83187,2.37
23,0.371978,0.848641,2.4
24,0.358968,0.854064,2.33
25,0.365578,0.864126,2.3
26,0.371696,0.845215,2.38
27,0.355254,0.851638,2.37
28,0.356053,0.841504,2.47
29,0.372171,0.848926,2.42
30,0.358603,0.85492,2.39
31,0.333998,0.859844,2.41
32,0.344016,0.849782,2.35
33,0.340995,0.861914,2.4
34,0.343372,0.855848,2.39
35,0.353795,0.851138,2.37
