epoch,train_loss,val_score,time_sec
0,1.263436,0.617432,8.05
1,1.164141,0.633223,7.22
2,1.124592,0.673146,7.14
3,1.086845,0.701237,7.04
4,1.049235,0.704341,6.96
5,1.032427,0.714894,7.11
6,1.000613,0.731363,7.14
7,0.977761,0.745242,7.14
8,0.930442,0.751738,7.08
9,0.922483,0.756407,6.98
10,0.896114,0.774427,7.0
11,0.8736,0.780849,7.0
12,0.860707,0.79929,6.94
13,0.849573,0.79628,6.95
14,0.825811,0.797583,6.91
15,0.78901,0.809448,6.99
16,0.798247,0.816652,7.01
17,0.779022,0.81809,6.99
18,0.765924,0.821919,7.26
19,0.758922,0.82531,7.19
20,0.729534,0.836285,7.07
21,0.716665,0.834237,7.12
22,0.707828,0.840279,7.13
23,0.694826,0.84421,7.09
24,0.671968,0.842947,7.13
25,0.65436,0.84519,7.11
26,0.676556,0.847267,7.31
27,0.648998,0.844624,7.38
28,0.646348,0.849452,7.37
29,0.635314,0.846565,7.37
30,0.631528,0.850439,7.04
31,0.631243,0.849203,7.05
32,0.601989,0.849029,6.91
33,0.593501,0.854962,6.95
34,0.589625,0.850607,6.89
35,0.594146,0.851768,6.92
36,0.593162,0.85463,7.17
37,0.57608,0.853331,7.22
38,0.591734,0.855596,7.16
39,0.581687,0.860248,7.29
40,0.566129,0.853535,7.34
41,0.558329,0.85398,6.97
42,0.575369,0.861401,6.9
43,0.563426,0.858192,6.97
44,0.576968,0.852859,6.93
45,0.55469,0.857412,6.97
46,0.556031,0.858077,7.04
47,0.577381,0.856795,8.0
48,0.560901,0.855415,8.7
49,0.55122,0.854316,8.78
