epoch,train_loss,val_auc,time_sec
0,0.551316,0.785223,2.29
1,0.429891,0.812627,1.91
2,0.402666,0.809985,1.91
3,0.374865,0.809432,1.93
4,0.33053,0.813978,1.9
5,0.332085,0.824793,1.9
6,0.317152,0.833825,1.9
7,0.332967,0.821843,1.91
8,0.29745,0.840092,1.91
9,0.307272,0.848817,1.9
10,0.307856,0.852811,1.9
11,0.276667,0.864916,1.9
12,0.271954,0.858955,1.9
13,0.305149,0.835238,1.9
14,0.252062,0.836713,1.9
15,0.266254,0.848694,1.91
16,0.241533,0.854716,1.9
17,0.241482,0.86596,1.91
18,0.231087,0.863502,1.91
19,0.245019,0.86,1.9
20,0.211338,0.852442,1.91
21,0.215409,0.850722,1.91
22,0.212371,0.844639,1.89
23,0.189728,0.86,1.9
24,0.185332,0.846667,1.9
25,0.183439,0.85447,1.9
26,0.165041,0.851152,1.9
27,0.166165,0.86169,1.9
