epoch,train_loss,val_auc,time_sec
0,0.679282,0.538979,13.14
1,0.634102,0.570222,12.88
2,0.630783,0.642315,12.89
3,0.556759,0.71997,12.89
4,0.526745,0.784176,12.87
5,0.511646,0.760617,12.89
6,0.462908,0.808696,12.91
7,0.446001,0.833316,12.9
8,0.44802,0.819565,12.89
9,0.422044,0.798079,12.9
10,0.437095,0.818453,12.89
11,0.433485,0.821335,12.89
12,0.405293,0.83271,12.89
13,0.415832,0.803084,12.89
14,0.432141,0.823711,12.89
15,0.411464,0.83913,12.88
16,0.397912,0.819161,12.88
17,0.420709,0.828564,12.89
18,0.397321,0.841962,12.89
19,0.399291,0.819869,12.88
20,0.396934,0.828766,12.89
21,0.395548,0.821082,12.88
22,0.375004,0.831395,12.89
23,0.388916,0.852275,12.89
24,0.375986,0.854196,12.88
25,0.367921,0.841911,12.88
26,0.394881,0.853033,12.88
27,0.363108,0.853943,12.89
28,0.361097,0.836047,12.88
29,0.359244,0.849141,12.89
30,0.371506,0.849646,12.89
31,0.359186,0.855966,12.9
32,0.353773,0.849949,12.89
33,0.357577,0.848736,12.9
34,0.356739,0.851314,12.89
35,0.348966,0.84277,12.89
36,0.352015,0.842214,12.89
37,0.337935,0.849646,12.89
38,0.330316,0.853842,12.89
39,0.337953,0.858038,12.88
40,0.331606,0.85632,12.89
41,0.321354,0.852882,12.89
42,0.31679,0.852073,12.89
43,0.312602,0.847017,12.89
44,0.313471,0.848281,12.89
45,0.314013,0.850354,12.89
46,0.304881,0.850253,12.89
47,0.312314,0.85273,12.89
48,0.316551,0.852831,12.89
49,0.307108,0.852629,12.89
