epoch,train_loss,val_auc,time_sec
0,0.653087,0.56997,2.91
1,0.589875,0.750708,2.19
2,0.555126,0.71542,2.31
3,0.523547,0.75728,2.23
4,0.488742,0.797573,2.29
5,0.491851,0.81633,2.2
6,0.467692,0.823407,2.24
7,0.447342,0.83731,2.2
8,0.43104,0.839434,2.21
9,0.429272,0.858898,2.32
10,0.402996,0.86365,2.29
11,0.41514,0.868857,2.27
12,0.403894,0.870273,2.29
13,0.393459,0.842063,2.37
14,0.404707,0.847624,2.4
15,0.36612,0.846866,2.35
16,0.368465,0.843579,2.37
17,0.36836,0.853033,2.39
18,0.356553,0.863296,2.34
19,0.371729,0.859252,2.4
20,0.355226,0.853994,2.38
21,0.335012,0.863145,2.34
22,0.336174,0.844641,2.35
