epoch,train_loss,val_score,time_sec
0,1.062178,0.623961,4.34
1,0.992093,0.653902,3.37
2,0.945423,0.654272,3.39
3,0.890576,0.695166,3.35
4,0.851503,0.735996,3.33
5,0.839253,0.750356,3.32
6,0.790837,0.72775,3.34
7,0.774654,0.747642,3.35
8,0.751326,0.709065,3.35
9,0.739811,0.711965,3.34
10,0.726803,0.733018,3.43
11,0.688613,0.718542,3.4
12,0.666319,0.756545,3.5
13,0.672752,0.748811,3.52
14,0.641888,0.724633,3.52
15,0.622346,0.747018,3.51
16,0.591505,0.763228,3.48
17,0.58631,0.743552,3.49
18,0.549253,0.748736,3.52
19,0.538726,0.76144,3.48
20,0.518526,0.756823,3.33
21,0.494177,0.746881,3.32
22,0.485909,0.752565,3.32
23,0.454018,0.763667,3.3
24,0.446707,0.763324,3.34
25,0.437333,0.759097,3.33
26,0.388489,0.751325,3.33
27,0.395427,0.760901,3.31
28,0.375517,0.753573,3.31
29,0.355412,0.751122,3.38
30,0.31032,0.75313,3.41
31,0.31147,0.738203,3.42
32,0.318902,0.754671,3.45
33,0.29576,0.759751,3.44
