epoch,train_loss,val_auc,time_sec
0,0.693229,0.754875,4.99
1,0.584368,0.757081,3.96
2,0.502089,0.804033,4.0
3,0.485301,0.814553,3.91
4,0.448023,0.826201,3.91
5,0.415601,0.851498,3.61
6,0.405804,0.85391,3.61
7,0.403292,0.859349,3.64
8,0.383611,0.875103,3.59
9,0.361015,0.865712,3.51
10,0.361478,0.877566,3.57
11,0.347301,0.856732,3.6
12,0.318536,0.87382,3.57
13,0.31753,0.863968,3.74
14,0.306733,0.877412,3.91
15,0.304955,0.875411,3.9
16,0.276973,0.866841,3.9
17,0.297573,0.864378,3.89
18,0.270302,0.87695,3.89
19,0.242677,0.893524,3.99
20,0.277325,0.89024,3.91
21,0.243529,0.894191,3.68
22,0.262284,0.898194,3.68
23,0.222292,0.89804,3.76
24,0.218961,0.891215,3.82
25,0.19027,0.896808,3.74
26,0.201718,0.889932,3.8
27,0.191273,0.893986,3.77
28,0.164926,0.87813,3.73
29,0.184859,0.891831,3.91
30,0.171276,0.884083,3.69
31,0.164661,0.890856,3.86
32,0.156892,0.898245,3.7
33,0.16395,0.883415,3.82
34,0.14208,0.890394,3.92
35,0.146775,0.881773,3.78
36,0.125758,0.88439,3.68
37,0.153238,0.889522,3.46
38,0.132394,0.885878,3.5
39,0.132099,0.880491,3.52
40,0.124961,0.889522,3.5
41,0.119235,0.887623,3.66
42,0.12456,0.891626,3.69
