epoch,train_loss,val_auc,time_sec
0,0.627966,0.620837,2.81
1,0.541682,0.762014,2.25
2,0.477518,0.813247,2.26
3,0.431217,0.852021,2.33
4,0.401916,0.855263,2.42
5,0.361742,0.823227,2.42
6,0.373876,0.840453,2.36
7,0.350749,0.860412,2.37
8,0.331811,0.848589,2.34
9,0.326047,0.849542,2.35
10,0.280302,0.853293,2.36
11,0.281436,0.842741,2.39
12,0.263509,0.865434,2.31
13,0.267917,0.856725,2.36
14,0.24855,0.864989,2.33
15,0.221049,0.874333,2.34
16,0.238435,0.864671,2.46
17,0.215038,0.852721,2.45
18,0.203098,0.865815,2.47
19,0.195217,0.856344,2.47
20,0.183018,0.862382,2.48
21,0.196466,0.863272,2.44
22,0.164833,0.871027,2.46
23,0.166945,0.871345,2.41
24,0.139974,0.865624,2.46
25,0.143039,0.863654,2.46
