epoch,train_loss,val_score,time_sec
0,1.20668,0.640664,6.67
1,1.06837,0.767805,5.92
2,0.868324,0.816561,5.92
3,0.779216,0.850889,5.9
4,0.70357,0.877448,5.91
5,0.667312,0.883929,5.91
6,0.628296,0.882798,5.91
7,0.594533,0.890826,5.91
8,0.578086,0.892821,5.92
9,0.564582,0.897705,5.9
10,0.545937,0.903255,5.88
11,0.513935,0.885423,5.89
12,0.504518,0.905701,5.9
13,0.502341,0.907321,5.9
14,0.485999,0.906065,5.89
15,0.461842,0.903943,5.88
16,0.463056,0.89966,5.9
17,0.442043,0.902616,5.88
18,0.426783,0.900596,5.89
19,0.414418,0.905607,5.89
20,0.409986,0.889062,5.86
21,0.393427,0.892431,5.85
22,0.389261,0.897722,5.88
23,0.371329,0.896434,5.87
