epoch,train_loss,val_score,time_sec
0,1.22285,0.752122,6.59
1,1.028231,0.84472,5.87
2,0.86253,0.887119,5.86
3,0.771502,0.888504,5.87
4,0.723983,0.903018,5.87
5,0.685349,0.909052,5.87
6,0.658446,0.910507,5.85
7,0.626032,0.926486,5.86
8,0.607978,0.925855,5.85
9,0.587673,0.92974,5.86
10,0.559846,0.925898,5.85
11,0.545525,0.918083,5.85
12,0.536434,0.927219,5.85
13,0.512594,0.930459,5.85
14,0.513579,0.931625,5.85
15,0.485707,0.927645,5.86
16,0.484728,0.932061,5.85
17,0.486022,0.926802,5.86
18,0.454152,0.930627,5.85
19,0.438072,0.92781,5.84
20,0.437735,0.92595,5.86
21,0.413443,0.932026,5.86
22,0.402968,0.923663,5.85
23,0.391054,0.931603,5.85
24,0.372776,0.931208,5.84
25,0.371154,0.921294,5.85
26,0.362834,0.929606,5.86
