epoch,train_loss,val_auc,time_sec
0,0.55644,0.847445,2.34
1,0.431871,0.856789,1.91
2,0.389316,0.876049,1.91
3,0.363469,0.874905,1.91
4,0.357421,0.873824,1.91
5,0.346186,0.879863,1.91
6,0.334924,0.864798,1.91
7,0.326444,0.87376,1.91
8,0.311157,0.861365,1.91
9,0.333195,0.894038,1.91
10,0.287837,0.871472,1.91
11,0.285287,0.86359,1.91
12,0.299912,0.869247,1.9
13,0.270066,0.86804,1.9
14,0.241268,0.876748,1.91
15,0.242669,0.876112,1.91
16,0.23542,0.875095,1.91
17,0.23114,0.87465,1.91
18,0.22291,0.871599,1.9
19,0.201475,0.86715,1.93
