run_id,commit_sha,input_size,condition,checkpoint_mtime,backbone,arm,fold,n_val,fs_method,auc,accuracy,sensitivity,specificity,precision,f1,balanced_accuracy,brier_score,tp,tn,fp,fn
2026-08-22-run03,ebc1fa1,96,honest_nested_cv_sensitivity,2026-08-22T17:06:48,convnext_tiny,cnn_only,0,292,mutual_info_classif,0.8812881612362891,0.8527397260273972,0.645161290321887,0.9497487437181158,0.8571428571428571,0.7361963190184049,0.7974550170200014,0.1143130835886976,60,189,10,33
2026-08-22-run03,ebc1fa1,96,honest_nested_cv_sensitivity,2026-08-22T17:06:48,convnext_tiny,radiomics_only,0,292,mutual_info_classif,0.9344031987896472,0.8767123287671232,0.7741935483862643,0.9246231155774248,0.8275862068965517,0.8,0.8494083319818446,0.0913845535877204,72,184,15,21
2026-08-22-run03,ebc1fa1,96,honest_nested_cv_sensitivity,2026-08-22T17:06:48,convnext_tiny,fusion_late,0,292,mutual_info_classif,0.9378073161506456,0.886986301369863,0.7419354838701699,0.954773869346254,0.8846153846153846,0.8070175438596491,0.848354676608212,0.0836044992970979,69,190,9,24
2026-08-22-run03,ebc1fa1,96,honest_nested_cv_sensitivity,2026-08-22T17:06:48,convnext_tiny,fusion_early,0,292,mutual_info_classif,0.9236505106176042,0.8698630136986302,0.7096774193540756,0.9447236180899776,0.8571428571428571,0.7764705882352941,0.8272005187220266,0.1011731810145654,66,188,11,27
2026-08-22-run03,ebc1fa1,96,honest_nested_cv_sensitivity,2026-08-22T17:06:48,convnext_tiny,fusion_intermediate,0,292,mutual_info_classif,0.9320257199978386,0.8835616438356164,0.6989247311820441,0.9698492462306684,0.9154929577464788,0.7926829268292683,0.8343869887063563,0.0858399085366705,65,193,6,28
2026-08-22-run03,ebc1fa1,96,honest_nested_cv_sensitivity,2026-08-22T17:08:11,convnext_tiny,cnn_only,1,254,mutual_info_classif,0.8558481410119174,0.84251968503937,0.6419753086411827,0.936416184970557,0.8253968253968254,0.7222222222222222,0.7891957468058699,0.1254330465738053,52,162,11,29
2026-08-22-run03,ebc1fa1,96,honest_nested_cv_sensitivity,2026-08-22T17:08:11,convnext_tiny,radiomics_only,1,254,mutual_info_classif,0.9556126454006996,0.905511811023622,0.8024691358014784,0.9537572254329748,0.8904109589041096,0.8441558441558441,0.8781131806172267,0.0732731082286682,65,165,8,16
2026-08-22-run03,ebc1fa1,96,honest_nested_cv_sensitivity,2026-08-22T17:08:11,convnext_tiny,fusion_late,1,254,mutual_info_classif,0.9386284164704204,0.8976377952755905,0.7654320987644871,0.9595375722537808,0.8985507246376812,0.8266666666666667,0.8624848355091339,0.0811915249051315,62,166,7,19
2026-08-22-run03,ebc1fa1,96,honest_nested_cv_sensitivity,2026-08-22T17:08:11,convnext_tiny,fusion_early,1,254,mutual_info_classif,0.9209305644758438,0.8858267716535433,0.7777777777768176,0.936416184970557,0.8513513513513513,0.8129032258064516,0.8570969813736873,0.0956911172348133,63,162,11,18
2026-08-22-run03,ebc1fa1,96,honest_nested_cv_sensitivity,2026-08-22T17:08:11,convnext_tiny,fusion_intermediate,1,254,mutual_info_classif,0.9302790266181404,0.8779527559055118,0.7530864197521566,0.936416184970557,0.8472222222222222,0.7973856209150327,0.8447513023613569,0.0873410916399037,61,162,11,20
