backbone,arm,fold,n_val,fs_method,auc,accuracy,sensitivity,specificity,precision,f1,balanced_accuracy,brier_score,tp,tn,fp,fn
convnext_tiny,cnn_only,0,292,mutual_info_classif,0.9328362241314098,0.839041095890411,0.8602150537625158,0.8291457286427995,0.7017543859649122,0.7729468599033816,0.8446803912026577,0.10969774500305873,80,165,34,13
convnext_tiny,radiomics_only,0,292,mutual_info_classif,0.9344031987896472,0.8767123287671232,0.7741935483862643,0.9246231155774248,0.8275862068965517,0.8,0.8494083319818446,0.09138455358772042,72,184,15,21
convnext_tiny,fusion_late,0,292,mutual_info_classif,0.9461284919219755,0.8904109589041096,0.8172043010743901,0.9246231155774248,0.8351648351648352,0.8260869565217391,0.8709137083259075,0.08296109227585582,76,184,15,17
convnext_tiny,fusion_early,0,292,mutual_info_classif,0.9151132004106555,0.8732876712328768,0.720430107526107,0.9447236180899776,0.8589743589743589,0.783625730994152,0.8325768628080423,0.10641357006588714,67,188,11,26
convnext_tiny,fusion_intermediate_moddrop_auxloss,0,292,mutual_info_classif,0.9407791646404063,0.8972602739726028,0.8064516129023587,0.9396984924618395,0.8620689655172413,0.8333333333333334,0.8730750526820991,0.08031794311067149,75,187,12,18
convnext_tiny,fusion_intermediate_branch_norm_moddrop_auxloss,0,292,mutual_info_classif,0.928837737072459,0.6917808219178082,0.032258064516094344,0.9999999999994975,1.0,0.0625,0.5161290322577959,0.21970887144239187,3,199,0,90
convnext_tiny,fusion_intermediate_gmu_moddrop_auxloss,0,292,mutual_info_classif,0.9298103420327443,0.8835616438356164,0.8064516129023587,0.9195979899492867,0.8241758241758241,0.8152173913043478,0.8630248014258226,0.0907493749344704,75,183,16,18
convnext_tiny,cnn_only,1,254,mutual_info_classif,0.9215728252337114,0.8661417322834646,0.6913580246905044,0.9479768786121688,0.8615384615384616,0.7671232876712328,0.8196674516513367,0.10006518162304795,56,164,9,25
convnext_tiny,radiomics_only,1,254,mutual_info_classif,0.9556126454006995,0.905511811023622,0.8024691358014784,0.9537572254329748,0.8904109589041096,0.8441558441558441,0.8781131806172267,0.07327310822866823,65,165,8,16
convnext_tiny,fusion_late,1,254,mutual_info_classif,0.94983229857989,0.9094488188976378,0.8024691358014784,0.9595375722537807,0.9027777777777778,0.8496732026143791,0.8810033540276295,0.07529259985507998,65,166,7,16
convnext_tiny,fusion_early,1,254,mutual_info_classif,0.9391993149218583,0.905511811023622,0.8148148148138089,0.9479768786121688,0.88,0.8461538461538461,0.8813958467129889,0.08284555604273343,66,164,9,15
convnext_tiny,fusion_intermediate_moddrop_auxloss,1,254,mutual_info_classif,0.93035038892457,0.8858267716535433,0.7530864197521566,0.9479768786121688,0.8714285714285714,0.8079470198675497,0.8505316491821627,0.08787565139119363,61,164,9,20
convnext_tiny,fusion_intermediate_branch_norm_moddrop_auxloss,1,254,mutual_info_classif,0.9210019267822737,0.889763779527559,0.7654320987644871,0.9479768786121688,0.8732394366197183,0.8157894736842105,0.8567044886883279,0.0815367839383885,62,164,9,19
convnext_tiny,fusion_intermediate_gmu_moddrop_auxloss,1,254,mutual_info_classif,0.9194319560408192,0.8858267716535433,0.7160493827151654,0.9653179190745866,0.90625,0.8,0.8406836508948761,0.09453017925735324,58,167,6,23
convnext_tiny,cnn_only,2,266,mutual_info_classif,0.901111944027986,0.8195488721804511,0.8260869565208412,0.8160919540225196,0.7037037037037037,0.76,0.8210894552716803,0.14357028058071072,76,142,32,16
convnext_tiny,radiomics_only,2,266,mutual_info_classif,0.9097951024487756,0.8609022556390977,0.7499999999991848,0.9195402298845291,0.8313253012048193,0.7885714285714286,0.8347701149418569,0.10988844544082868,69,160,14,23
convnext_tiny,fusion_late,2,266,mutual_info_classif,0.9174787606196901,0.849624060150376,0.7934782608687028,0.8793103448270809,0.776595744680851,0.7849462365591398,0.8363943028478918,0.10797326034073418,73,153,21,19
convnext_tiny,fusion_early,2,266,mutual_info_classif,0.9098575712143927,0.8421052631578947,0.7826086956513232,0.8735632183903026,0.7659574468085106,0.7741935483870968,0.8280859570208129,0.1371481427724891,72,152,22,20
convnext_tiny,fusion_intermediate_moddrop_auxloss,2,266,mutual_info_classif,0.9071089455272364,0.8345864661654135,0.8369565217382207,0.8333333333328544,0.7264150943396226,0.7777777777777778,0.8351449275355376,0.12559985996599266,77,145,29,15
convnext_tiny,fusion_intermediate_branch_norm_moddrop_auxloss,2,266,mutual_info_classif,0.8978010994502749,0.8270676691729323,0.5434782608689744,0.9770114942523122,0.9259259259259259,0.684931506849315,0.7602448775606433,0.22315994494660804,50,170,4,42
convnext_tiny,fusion_intermediate_gmu_moddrop_auxloss,2,266,mutual_info_classif,0.9089830084957521,0.8646616541353384,0.7934782608687028,0.9022988505741941,0.8111111111111111,0.8021978021978022,0.8478885557214484,0.11034988960111315,73,157,17,19
convnext_tiny,cnn_only,3,303,mutual_info_classif,0.8761627906976744,0.8151815181518152,0.7840909090900181,0.827906976743801,0.6509433962264151,0.711340206185567,0.8059989429169095,0.12954564554058665,69,178,37,19
convnext_tiny,radiomics_only,3,303,mutual_info_classif,0.9341437632135305,0.8514851485148515,0.7386363636355242,0.8976744186042337,0.7471264367816092,0.7428571428571429,0.8181553911198789,0.1041371068125503,65,193,22,23
convnext_tiny,fusion_late,3,303,mutual_info_classif,0.922093023255814,0.8514851485148515,0.7499999999991477,0.8930232558135381,0.7415730337078652,0.7457627118644068,0.8215116279063429,0.10153116094063615,66,192,23,22
convnext_tiny,fusion_early,3,303,mutual_info_classif,0.8887949260042283,0.8448844884488449,0.7045454545446539,0.9023255813949292,0.7469879518072289,0.7251461988304093,0.8034355179697916,0.13181091131504294,62,194,21,26
convnext_tiny,fusion_intermediate_moddrop_auxloss,3,303,mutual_info_classif,0.9056553911205073,0.8250825082508251,0.681818181817407,0.8837209302321472,0.7058823529411765,0.6936416184971098,0.7827695560247772,0.12565267972858846,60,190,25,28
convnext_tiny,fusion_intermediate_branch_norm_moddrop_auxloss,3,303,mutual_info_classif,0.9068710359408034,0.8382838283828383,0.7159090909082774,0.8883720930228427,0.7241379310344828,0.72,0.80214059196556,0.11509734794369172,63,191,24,25
convnext_tiny,fusion_intermediate_gmu_moddrop_auxloss,3,303,mutual_info_classif,0.9068181818181819,0.8481848184818482,0.7045454545446539,0.9069767441856247,0.7560975609756098,0.7294117647058823,0.8057610993651393,0.11683228809837183,62,195,20,26
convnext_tiny,cnn_only,4,251,mutual_info_classif,0.9136726546906189,0.8844621513944223,0.7857142857133503,0.9341317365263868,0.8571428571428571,0.8198757763975155,0.8599230111198686,0.1033958744173095,66,156,11,18
convnext_tiny,radiomics_only,4,251,mutual_info_classif,0.9373396065012831,0.8844621513944223,0.7857142857133503,0.9341317365263868,0.8571428571428571,0.8198757763975155,0.8599230111198686,0.08603136135427865,66,156,11,18
convnext_tiny,fusion_late,4,251,mutual_info_classif,0.9473196464214428,0.8924302788844621,0.7976190476180981,0.940119760478479,0.8701298701298701,0.8322981366459627,0.8688694040482885,0.08330042228310217,67,157,10,17
convnext_tiny,fusion_early,4,251,mutual_info_classif,0.911106358711149,0.8725099601593626,0.7976190476180981,0.9101796407180179,0.8170731707317073,0.8072289156626506,0.853899344168058,0.11231125832725464,67,152,15,17
convnext_tiny,fusion_intermediate_moddrop_auxloss,4,251,mutual_info_classif,0.9297832905617337,0.896414342629482,0.7976190476180981,0.9461077844305713,0.881578947368421,0.8375,0.8718634160243347,0.09072494080337805,67,158,9,17
convnext_tiny,fusion_intermediate_branch_norm_moddrop_auxloss,4,251,mutual_info_classif,0.9128172226974621,0.8565737051792829,0.6071428571421343,0.9820359281431246,0.9444444444444444,0.7391304347826086,0.7945893926426295,0.14699157287077524,51,164,3,33
convnext_tiny,fusion_intermediate_gmu_moddrop_auxloss,4,251,mutual_info_classif,0.9222269746221843,0.8924302788844621,0.8214285714275935,0.9281437125742946,0.8518518518518519,0.8363636363636363,0.8747861420009441,0.08568793359298742,69,155,12,15
densenet201,cnn_only,0,292,mutual_info_classif,0.9181390825093209,0.8801369863013698,0.6881720430100127,0.9698492462306685,0.9142857142857143,0.7852760736196319,0.8290106446203406,0.09857473518111429,64,193,6,29
densenet201,radiomics_only,0,292,mutual_info_classif,0.9344031987896472,0.8767123287671232,0.7741935483862643,0.9246231155774248,0.8275862068965517,0.8,0.8494083319818446,0.09138455358772042,72,184,15,21
densenet201,fusion_late,0,292,mutual_info_classif,0.9440752147835955,0.9041095890410958,0.7634408602142329,0.9698492462306685,0.922077922077922,0.8352941176470589,0.8666450532224507,0.0789134035144207,71,193,6,22
densenet201,fusion_early,0,292,mutual_info_classif,0.9207326957367483,0.8938356164383562,0.7419354838701699,0.9648241206025303,0.9078947368421053,0.8165680473372781,0.8533798022363501,0.09589696118287365,69,192,7,24
densenet201,fusion_intermediate_moddrop_auxloss,0,292,mutual_info_classif,0.9198681579942725,0.8732876712328768,0.7096774193540756,0.9497487437181158,0.868421052631579,0.7810650887573964,0.8297130815360957,0.09975301169278168,66,189,10,27
densenet201,fusion_intermediate_branch_norm_moddrop_auxloss,0,292,mutual_info_classif,0.9371048792348841,0.9006849315068494,0.7419354838701699,0.9748743718588067,0.9324324324324325,0.8263473053892215,0.8584049278644883,0.08618497930904931,69,194,5,24
densenet201,fusion_intermediate_gmu_moddrop_auxloss,0,292,mutual_info_classif,0.9211109309990814,0.8732876712328768,0.7096774193540756,0.9497487437181158,0.868421052631579,0.7810650887573964,0.8297130815360957,0.09987611771044191,66,189,10,27
densenet201,cnn_only,1,254,mutual_info_classif,0.9307072004567187,0.8818897637795275,0.8271604938261393,0.9075144508665275,0.8072289156626506,0.8170731707317073,0.8673374723463334,0.092052294567147,67,157,16,14
densenet201,radiomics_only,1,254,mutual_info_classif,0.9556126454006995,0.905511811023622,0.8024691358014784,0.9537572254329748,0.8904109589041096,0.8441558441558441,0.8781131806172267,0.07327310822866823,65,165,8,16
densenet201,fusion_late,1,254,mutual_info_classif,0.9630343252693926,0.9291338582677166,0.8395061728384697,0.9710982658953925,0.9315068493150684,0.8831168831168831,0.9053022193669311,0.06153829127178177,68,168,5,13
densenet201,fusion_early,1,254,mutual_info_classif,0.9424819810176265,0.8937007874015748,0.7777777777768176,0.9479768786121688,0.875,0.8235294117647058,0.8628773281944933,0.08730577890722395,63,164,9,18
densenet201,fusion_intermediate_moddrop_auxloss,1,254,mutual_info_classif,0.942053807179048,0.889763779527559,0.7407407407398262,0.9595375722537807,0.8955223880597015,0.8108108108108109,0.8501391564968035,0.07888431746055118,60,166,7,21
densenet201,fusion_intermediate_branch_norm_moddrop_auxloss,1,254,mutual_info_classif,0.9447655748233783,0.8976377952755905,0.7777777777768176,0.9537572254329748,0.8873239436619719,0.8289473684210527,0.8657675016048962,0.07571399372559805,63,165,8,18
