run_id,source_run_id,commit_sha,backbone,ckpt_kind,comparison,arm_a,arm_b,auc_a,auc_b,delta,se,margin,ci90_low,ci90_high,ci95_low,ci95_high,p_lower,p_upper,p_tost,equivalent,noninferior,delong_p
2026-08-19-run03,2026-08-04-run02,e0f1ddc,densenet121,best,fusion_late_vs_radiomics_only,fusion_late,radiomics_only,0.9319177098094787,0.9336201976066759,-0.001702487797197172,0.004118244883885852,0.02,-0.00847639783113116,0.005071422236736816,-0.009774099449129778,0.006369123854735434,4.434906244688008e-06,6.827170916661141e-08,4.434906244688008e-06,True,True,0.6793126208246574
2026-08-19-run03,2026-08-04-run02,e0f1ddc,densenet121,last,fusion_late_vs_radiomics_only,fusion_late,radiomics_only,0.9240769170209416,0.9336201976066759,-0.009543280585734282,0.003898422843701875,0.02,-0.015955615539587784,-0.00313094563188078,-0.017184048955898177,-0.0019025122155703856,0.0036559494439489804,1.75103543832118e-14,0.0036559494439489804,True,True,0.0143657642192132
2026-08-19-run03,2026-08-04-run02,e0f1ddc,densenet121,best,fusion_late_vs_cnn_only,fusion_late,cnn_only,0.9319177098094787,0.896527121713116,0.03539058809636275,0.00532341635200256,0.02,0.026634347401998566,0.04414682879072694,0.024956883771726134,0.04582429242099937,0.0,0.9980805880657201,0.9980805880657201,False,True,2.969069434755056e-11
2026-08-19-run03,2026-08-04-run02,e0f1ddc,densenet121,last,fusion_late_vs_cnn_only,fusion_late,cnn_only,0.9240769170209416,0.8724782514564636,0.05159866556447801,0.006565092446109922,0.02,0.04080004944322239,0.06239728168573363,0.0387313208149266,0.06446601031402942,0.0,0.999999257089731,0.999999257089731,False,True,3.774758283725532e-15
2026-08-19-run03,2026-08-04-run02,e0f1ddc,convnext_tiny,best,fusion_late_vs_radiomics_only,fusion_late,radiomics_only,0.9300233230987246,0.9336201976066759,-0.00359687450795132,0.00481988070084774,0.02,-0.01152487276021413,0.00433112374431149,-0.013043667091392565,0.005849918075489926,0.0003329803620121252,4.896866707312825e-07,0.0003329803620121252,True,True,0.4555115805281573
2026-08-19-run03,2026-08-04-run02,e0f1ddc,convnext_tiny,last,fusion_late_vs_radiomics_only,fusion_late,radiomics_only,0.9268446898126279,0.9336201976066759,-0.006775507794048008,0.003013815400939545,0.02,-0.011732792987245624,-0.0018182226008503924,-0.012682477435941659,-0.0008685381521543571,5.721021058002762e-06,3.2174955131112444e-19,5.721021058002762e-06,True,True,0.0245666541960964
2026-08-19-run03,2026-08-04-run02,e0f1ddc,convnext_tiny,best,fusion_late_vs_cnn_only,fusion_late,cnn_only,0.9300233230987246,0.8906717446071485,0.03935157849157611,0.0055196895513794425,0.02,0.03027249711334349,0.04843065986980873,0.028533185765030354,0.05016997121812187,0.0,0.9997724822369447,0.9997724822369447,False,True,1.0087486401744172e-12
2026-08-19-run03,2026-08-04-run02,e0f1ddc,convnext_tiny,last,fusion_late_vs_cnn_only,fusion_late,cnn_only,0.9268446898126279,0.8806191938277436,0.046225495984884346,0.006660117352463634,0.02,0.0352705778017621,0.057180414168006594,0.03317190584124537,0.059279086128523326,0.0,0.9999588655837139,0.9999588655837139,False,True,3.9031000653721995e-12
2026-08-19-run03,2026-08-04-run02,e0f1ddc,densenet201,best,fusion_late_vs_radiomics_only,fusion_late,radiomics_only,0.936287100456621,0.9336201976066759,0.0026669028499450853,0.0038646032955030637,0.02,-0.003689803897391741,0.009023609597281912,-0.004907580423775724,0.010241386123665895,2.2421482448464758e-09,3.644142500997582e-06,3.644142500997582e-06,True,True,0.4901410471702938
2026-08-19-run03,2026-08-04-run02,e0f1ddc,densenet201,last,fusion_late_vs_radiomics_only,fusion_late,radiomics_only,0.9360263147535821,0.9336201976066759,0.002406117146906195,0.003671147491070858,0.02,-0.003632383118855503,0.008444617412667893,-0.004789199717527267,0.009601434011339657,5.195004426639116e-10,8.236812115622913e-07,8.236812115622913e-07,True,True,0.5122019966495253
2026-08-19-run03,2026-08-04-run02,e0f1ddc,densenet201,best,fusion_late_vs_cnn_only,fusion_late,cnn_only,0.936287100456621,0.8958653164855929,0.040421783971028136,0.0062961291612971555,0.02,0.03006557308431358,0.05077799485774269,0.028081597572873332,0.05276197036918294,0.0,0.999409741073682,0.999409741073682,False,True,1.3618417504801528e-10
2026-08-19-run03,2026-08-04-run02,e0f1ddc,densenet201,last,fusion_late_vs_cnn_only,fusion_late,cnn_only,0.9360263147535821,0.8887810482601164,0.04724526649346572,0.006896754595685101,0.02,0.03590111468255885,0.058589418304372594,0.03372787587571182,0.06076265711121962,0.0,0.999960997385309,0.999960997385309,False,True,7.366329768387914e-12
