backbone,fusion_arm,fusion_auc,best_single_arm,best_single_auc,delong_p,fusion_significantly_better
convnext_tiny,fusion_intermediate,0.9126540111793418,radiomics,0.9336201976066762,0.00031975895625113715,False
convnext_tiny,fusion_intermediate_branch_norm,0.8820485947094946,radiomics,0.9336201976066762,2.9989766225924086e-10,False
convnext_tiny,fusion_intermediate_gmu,0.9064542001259643,radiomics,0.9336201976066762,7.645608539608162e-07,False
convnext_tiny,fusion_early,0.9041932372854669,radiomics,0.9336201976066762,0.0002403394584036267,False
convnext_tiny,fusion_late,0.9300233230987247,radiomics,0.9336201976066762,0.4555115805281573,False
densenet201,fusion_intermediate,0.9087127027239805,radiomics,0.9336201976066762,0.00035899655771620687,False
densenet201,fusion_intermediate_branch_norm,0.9160614470162178,radiomics,0.9336201976066762,0.0011790256263528587,False
densenet201,fusion_intermediate_gmu,0.9087865099984254,radiomics,0.9336201976066762,7.398490710364136e-05,False
densenet201,fusion_early,0.9067592701936704,radiomics,0.9336201976066762,0.00035440368389316745,False
densenet201,fusion_late,0.936287100456621,radiomics,0.9336201976066762,0.49014104717029383,False
densenet121,fusion_intermediate,0.9095368839552826,radiomics,0.9336201976066762,0.00018038127202069099,False
densenet121,fusion_intermediate_branch_norm,0.9082723193197922,radiomics,0.9336201976066762,7.30755167401842e-05,False
densenet121,fusion_intermediate_gmu,0.9245591245473154,radiomics,0.9336201976066762,0.1377999629371227,False
densenet121,fusion_early,0.9129959848842703,radiomics,0.9336201976066762,0.0020535552486247166,False
densenet121,fusion_late,0.9319177098094787,radiomics,0.9336201976066762,0.6793126208246574,False
