group_a,group_b,n_a,n_b,statistic,p_value,p_holm,significant_holm_05
efficientnet_b0,mobilenetv2,45,45,1.1895420207369993,0.27839933991450583,0.8351980197435175,False
efficientnet_b0,resnet50,45,45,0.021696890754374348,0.8832332567786669,0.8832332567786669,False
efficientnet_b0,vgg16,45,45,5.9407509819798765,0.016806928091505594,0.08403464045752797,False
mobilenetv2,resnet50,45,45,1.1884449083769768,0.27861961502086746,0.8351980197435175,False
mobilenetv2,vgg16,45,45,3.957674966450905,0.04976353329503649,0.19905413318014595,False
resnet50,vgg16,45,45,7.59691177655802,0.0071069902002198196,0.042641941201318916,True
