arm,auc_mean,auc_std,n_runs
A_binary,0.8812491166187651,0.03498225412625534,30
B_ordinal,0.8471748666638165,0.06458220564839537,30
C_grade3,0.8763328173639152,0.03745784292726008,30
D_grade4,0.8984227601074669,0.02810757733958846,30
