arm_a,arm_b,rank_diff,q_stat,p_value,significant_p05
A_binary,B_ordinal,1.2333333333333334,5.232590180780452,0.0012339253300436281,True
A_binary,C_grade3,0.6000000000000001,2.5455844122715714,0.27327232735526186,False
A_binary,D_grade4,0.8999999999999999,3.818376618407356,0.03497674617294122,True
B_ordinal,C_grade3,0.6333333333333333,2.6870057685088806,0.22797746808231523,False
B_ordinal,D_grade4,2.1333333333333333,9.050966799187808,9.31958066274774e-10,True
C_grade3,D_grade4,1.5,6.363961030678928,4.0219071491987e-05,True
