model,params_M,gflops,latency_ms,auc_macro,auc_macro_ci_low,auc_macro_ci_high
densenet121,6.957,0.473282566,14.704844001680613,0.7536696712416081,0.7351132943413956,0.7722260481418206
efficientnet_b0,4.011,0.067939318,10.088377995416522,0.7178558429821295,0.6991688149050288,0.7365428710592299
mobilenetv3_small,0.929,0.01053423,5.078961998224258,0.7151947799950458,0.7005438684272698,0.7298456915628215
resnet50,23.514,0.67436135,9.19128400273621,0.7774818373313928,0.7601986989952374,0.7947649756675481
vgg16,14.716,2.51421799,7.305506002157927,0.7849853529376782,0.7682100501489375,0.8017606557264187
vit_base,85.801,35.210828838,61.892118006944656,0.7687631637038522,0.7199449781518523,0.8175813492558521
