model,params_M,gflops,latency_ms,auc,auc_ci_low,auc_ci_high,auc_per_M_params
densenet121,6.956,0.473280516,30.787094002589583,0.8824871381369752,0.8633391934129229,0.9016350828610276,0.12686704113527533
efficientnet_b0,4.01,0.067936756,17.34461000189185,0.8650707798855436,0.8551915130870784,0.8749500466840088,0.21572837403629516
mobilenetv3_small,0.928,0.010533076,6.803644001483917,0.8301543836559864,0.812824964439833,0.8474838028721398,0.894562913422399
resnet50,23.512,0.674357252,21.447896002791826,0.8945248584693681,0.8679516207275513,0.921098096211185,0.03804546012544097
vgg16,14.716,2.514216964,13.174783997237682,0.9103292662524687,0.8808763807983143,0.939782151706623,0.061859830541755145
vit_base,85.8,35.2108273,139.70763999968767,0.8934397769199194,0.8727349181582102,0.9141446356816285,0.010413051013052673
