,mobilenetv3_small,efficientnet_b0,densenet121,resnet50,vgg16,vit_base
mobilenetv3_small,1.0,0.0008155620891996396,2.0409220136130557e-07,2.3591084641338966e-10,3.4406033577738526e-11,7.321526718229165e-08
efficientnet_b0,0.0008155620891996396,1.0,0.09798862825152699,0.009506914392364951,0.0012050132967940108,0.04207257061821479
densenet121,2.0409220136130557e-07,0.09798862825152699,1.0,0.2405877984874789,0.07329279215569007,0.6046483035154651
resnet50,2.3591084641338966e-10,0.009506914392364951,0.2405877984874789,1.0,0.4789844808633412,0.6238834511995814
vgg16,3.4406033577738526e-11,0.0012050132967940108,0.07329279215569007,0.4789844808633412,1.0,0.2314307560965987
vit_base,7.321526718229165e-08,0.04207257061821479,0.6046483035154651,0.6238834511995814,0.2314307560965987,1.0
