term,sum_sq,df,F,p_value,eta_sq
model,0.15455633678868325,3,62.38531632079407,4.635448108616013e-27,0.20601798215422223
optimizer,0.34007664814304167,2,205.90345606527546,1.0990171733562895e-45,0.4533098175327022
weight_decay,0.00014166656874989303,4,0.04288685546889228,0.9964880337478657,0.00018883638962321973
fold,0.05128858283229992,4,15.526641596130405,8.249310491618664e-11,0.06836581768308184
Residual,0.1370854202025834,166,,,0.18272988503547266
