group_a,group_b,n_a,n_b,statistic,p_value,p_holm,significant_holm_05
efficientnet_b0,mobilenetv2,45,45,11.583973206753093,0.0010033083242212036,0.004013233296884814,True
efficientnet_b0,resnet50,45,45,1.2301488098951032,0.27039998267085935,0.27039998267085935,False
efficientnet_b0,vgg16,45,45,39.37997771342411,1.2763418710296075e-08,7.658051226177645e-08,True
mobilenetv2,resnet50,45,45,3.233304021216103,0.07558416445315784,0.15116832890631568,False
mobilenetv2,vgg16,45,45,8.47624020688868,0.004557959606120158,0.013673878818360474,True
resnet50,vgg16,45,45,17.11007961861625,8.044465922540617e-05,0.0004022232961270309,True
