model,params_M,gflops,latency_ms,auc_nodule_only,auc_nodule_only_ci_low,auc_nodule_only_ci_high
densenet121,6.958,0.473284616,31.319158002734188,0.8956963827847486,0.8765455710015895,0.9148471945679078
efficientnet_b0,4.013,0.06794188,17.291617998853326,0.8822723051957547,0.8680338144675452,0.8965107959239642
mobilenetv3_small,0.929,0.010535384,9.144457997754216,0.8767151199969601,0.8485110698349407,0.9049191701589794
resnet50,23.516,0.674365448,25.58959800750017,0.9012590483388501,0.8809298612196855,0.9215882354580146
vgg16,14.717,2.514219016,13.202264001592994,0.9224510827800492,0.899654068463562,0.9452480970965363
vit_base,85.802,35.210830376,139.54158999957144,0.912142621548439,0.8866552708224779,0.9376299722744
