arm,mean_rank,friedman_chi2,friedman_p
A_binary,2.2666666666666666,44.52000000000004,1.1702219859074657e-09
B_ordinal,3.5,44.52000000000004,1.1702219859074657e-09
C_grade3,2.8666666666666667,44.52000000000004,1.1702219859074657e-09
D_grade4,1.3666666666666667,44.52000000000004,1.1702219859074657e-09
