model,params_M,gflops,latency_ms,auc_macro,auc_macro_ci_low,auc_macro_ci_high
densenet121,6.958,0.473284616,31.319158002734188,0.8799685017895982,0.8652998097572231,0.8946371938219733
efficientnet_b0,4.013,0.06794188,17.291617998853326,0.8623254784973895,0.8482330925373338,0.8764178644574452
mobilenetv3_small,0.929,0.010535384,9.144457997754216,0.83691888549077,0.8240367094009119,0.8498010615806281
resnet50,23.516,0.674365448,25.58959800750017,0.8842710813508331,0.8710919166715161,0.8974502460301501
vgg16,14.717,2.514219016,13.202264001592994,0.9121960506479493,0.9015430135899382,0.9228490877059604
vit_base,85.802,35.210830376,139.54158999957144,0.8942154232564764,0.8827678035035316,0.9056630430094212
