model,task,fold,params_M,gflops,latency_ms,auc_macro,accuracy,f1_macro
mobilenetv3_small,grade3,0,0.929,0.01053423,5.078961998224258,0.6961539330066647,0.5248508946322068,0.5245128075412617
mobilenetv3_small,grade3,1,0.929,0.01053423,5.078961998224258,0.7383563094433923,0.5414507772020726,0.5400640162988833
mobilenetv3_small,grade3,2,0.929,0.01053423,5.078961998224258,0.7025719123244462,0.5285359801488834,0.5249668715177581
mobilenetv3_small,grade3,3,0.929,0.01053423,5.078961998224258,0.7228376526850445,0.5525114155251142,0.5470739687319912
mobilenetv3_small,grade3,4,0.929,0.01053423,5.078961998224258,0.716054092515681,0.5465686274509803,0.5568534642772772
efficientnet_b0,grade3,0,4.011,0.067939318,10.088377995416522,0.7193609902740447,0.5149105367793241,0.5174745026609051
efficientnet_b0,grade3,1,4.011,0.067939318,10.088377995416522,0.7463726197104797,0.5854922279792746,0.5824294237654869
efficientnet_b0,grade3,2,4.011,0.067939318,10.088377995416522,0.7293611029357742,0.5707196029776674,0.5741474026410506
efficientnet_b0,grade3,3,4.011,0.067939318,10.088377995416522,0.6951020129249234,0.5365296803652968,0.5351856193051985
efficientnet_b0,grade3,4,4.011,0.067939318,10.088377995416522,0.6990824890654254,0.5,0.4963432795909424
densenet121,grade3,0,6.957,0.473282566,14.704844001680613,0.7455500319486893,0.5487077534791253,0.5705295200188313
densenet121,grade3,1,6.957,0.473282566,14.704844001680613,0.7745734845359569,0.6010362694300518,0.594372866720639
densenet121,grade3,2,6.957,0.473282566,14.704844001680613,0.776065571223585,0.6104218362282878,0.6159444253873442
densenet121,grade3,3,6.957,0.473282566,14.704844001680613,0.7268765670433531,0.5707762557077626,0.561703930266761
densenet121,grade3,4,6.957,0.473282566,14.704844001680613,0.7452827014564564,0.5612745098039216,0.5781495852078972
resnet50,grade3,0,23.514,0.67436135,9.19128400273621,0.7678028506754032,0.5765407554671969,0.5916818457802064
resnet50,grade3,1,23.514,0.67436135,9.19128400273621,0.8001450599654903,0.6217616580310881,0.6274713438862524
resnet50,grade3,2,23.514,0.67436135,9.19128400273621,0.797347262208496,0.6203473945409429,0.61788298208819
resnet50,grade3,3,23.514,0.67436135,9.19128400273621,0.7584467072230902,0.5662100456621004,0.578272767640468
resnet50,grade3,4,23.514,0.67436135,9.19128400273621,0.7636673065844838,0.5980392156862745,0.6171625960325651
vgg16,grade3,0,14.716,2.51421799,7.305506002157927,0.7782824157339657,0.5566600397614314,0.5686270049540951
vgg16,grade3,1,14.716,2.51421799,7.305506002157927,0.8097433405535789,0.6243523316062176,0.6325207712481868
vgg16,grade3,2,14.716,2.51421799,7.305506002157927,0.7955607383723403,0.607940446650124,0.5960537980740813
vgg16,grade3,3,14.716,2.51421799,7.305506002157927,0.7587224637913025,0.5068493150684932,0.5177283700591722
vgg16,grade3,4,14.716,2.51421799,7.305506002157927,0.7826178062372033,0.6274509803921569,0.6450772022962888
vit_base,grade3,0,85.801,35.210828838,61.892118006944656,0.7182931463281914,0.5049701789264414,0.4223864214859739
vit_base,grade3,1,85.801,35.210828838,61.892118006944656,0.8359628709577144,0.6683937823834197,0.6727127775063778
vit_base,grade3,2,85.801,35.210828838,61.892118006944656,0.8131492541667269,0.6228287841191067,0.6212597370554439
vit_base,grade3,3,85.801,35.210828838,61.892118006944656,0.7107581244534176,0.589041095890411,0.45922577333833425
vit_base,grade3,4,85.801,35.210828838,61.892118006944656,0.7656524226132108,0.5906862745098039,0.61261341115293
