run_id,commit_sha,backbone,internal_name,site_rank,module_class,module_path,spatial_h,spatial_w,exec_index,n_module_calls,exec_index_norm,n,dice,iou,dice_size_matched,pointing_acc,energy_mean,n_zero_cam,is_band_pick,is_canonical_pick,cam_method,seconds
2026-08-20-run04,f81ba0d,mobilenetv3_small,mobilenet_v3_small,0,Hardswish,features.0.0.2,32,32,2,207,0.0097,60,0.019036592985415386,0.010337763679061562,0.015111688673571055,0.03333333333333333,0.016343261303593083,0,0,0,layercam,1.13
2026-08-20-run04,f81ba0d,mobilenetv3_small,mobilenet_v3_small,1,ReLU,features.0.2.block.0.2,16,16,21,207,0.1019,60,0.03087956655650701,0.018950419877963174,0.020529283966799806,0.016666666666666666,0.021483373327763823,0,0,0,layercam,0.43
2026-08-20-run04,f81ba0d,mobilenetv3_small,mobilenet_v3_small,2,Hardswish,features.0.4.block.0.2,8,8,47,207,0.2282,60,0.037940232963416844,0.02014437541772518,0.0175956514553711,0.0,0.020453145167911167,0,0,0,layercam,0.43
2026-08-20-run04,f81ba0d,mobilenetv3_small,mobilenet_v3_small,3,Conv2dNormActivation,features.0.4.block.0,8,8,48,207,0.233,60,0.037940232963416844,0.02014437541772518,0.0175956514553711,0.0,0.020453145167911167,0,1,0,layercam,0.42
2026-08-20-run04,f81ba0d,mobilenetv3_small,mobilenet_v3_small,4,Hardswish,features.0.9.block.0.2,4,4,142,207,0.6893,60,0.04205853280782674,0.02284368904509768,0.015305086763321223,0.016666666666666666,0.006636330800984139,49,0,0,layercam,0.53
2026-08-20-run04,f81ba0d,mobilenetv3_small,mobilenet_v3_small,5,Hardswish,features.0.12.2,2,2,199,207,0.966,60,0.0017450980391130334,0.0009207531553328727,0.0018007662834214116,0.0,0.0192990953095481,0,0,1,layercam,0.45
2026-08-20-run04,f81ba0d,mobilenetv3_small,mobilenet_v3_small,6,AdaptiveAvgPool2d,features.1,1,1,202,207,0.9806,60,0.03495450919152259,0.018872070312039257,0.01132877542761301,0.0,0.0,60,0,0,layercam,0.47
2026-08-20-run04,f81ba0d,efficientnet_b0,efficientnet_b0,0,SiLU,features.0.2.0.block.0.2,32,32,22,330,0.0669,60,0.05916552884272167,0.0330163811066354,0.047777159865972,0.03333333333333333,0.026757340591202654,0,0,0,layercam,0.77
2026-08-20-run04,f81ba0d,efficientnet_b0,efficientnet_b0,1,SiLU,features.0.3.0.block.0.2,16,16,62,330,0.1884,60,0.07637606507076677,0.042318362228725884,0.16251431661933932,0.18333333333333332,0.0388865338419482,0,0,0,layercam,0.83
2026-08-20-run04,f81ba0d,efficientnet_b0,efficientnet_b0,2,SiLU,features.0.4.0.block.0.2,8,8,102,330,0.31,60,0.060953007852733734,0.035312788798785015,0.06667486539416044,0.08333333333333333,0.05626714742518511,0,0,0,layercam,0.8
2026-08-20-run04,f81ba0d,efficientnet_b0,efficientnet_b0,3,Conv2dNormActivation,features.0.4.0.block.0,8,8,103,330,0.3131,60,0.060953007852733734,0.035312788798785015,0.06667486539416044,0.08333333333333333,0.05626714742518511,0,1,0,layercam,0.81
2026-08-20-run04,f81ba0d,efficientnet_b0,efficientnet_b0,4,SiLU,features.0.6.0.block.0.2,4,4,222,330,0.6748,60,0.03495450919152259,0.018872070312039257,0.01132877542761301,0.0,0.0,60,0,0,layercam,0.82
2026-08-20-run04,f81ba0d,efficientnet_b0,efficientnet_b0,5,SiLU,features.0.8.2,2,2,322,330,0.9787,60,0.0013022338424054291,0.0006752281356810651,0.0015325670497203505,0.0,0.018803679741218424,0,0,1,layercam,0.84
2026-08-20-run04,f81ba0d,efficientnet_b0,efficientnet_b0,6,AdaptiveAvgPool2d,features.1,1,1,325,330,0.9878,60,0.03495450919152259,0.018872070312039257,0.01132877542761301,0.0,0.0,60,0,0,layercam,0.81
2026-08-20-run04,f81ba0d,densenet121,densenet121,0,ReLU,features.0.relu0,48,48,2,436,0.0046,60,0.07942217074292056,0.04396944756440333,0.15557708931454636,0.26666666666666666,0.04281208829617462,0,0,0,layercam,1.61
2026-08-20-run04,f81ba0d,densenet121,densenet121,1,Conv2d,features.0.transition1.conv,24,24,49,436,0.1126,60,0.09459156840184228,0.05536747202948248,0.27729790552761424,0.5,0.0735553231443722,0,0,0,layercam,1.47
2026-08-20-run04,f81ba0d,densenet121,densenet121,2,Conv2d,features.0.transition2.conv,12,12,139,436,0.3195,60,0.11839214658147279,0.07172295833442119,0.2460452737084435,0.31666666666666665,0.06441196721610624,0,0,0,layercam,1.42
2026-08-20-run04,f81ba0d,densenet121,densenet121,3,Conv2d,features.0.transition3.conv,6,6,313,436,0.7195,60,0.1257255411287394,0.07709689960655781,0.15856908515443666,0.13333333333333333,0.061309953587908105,0,0,0,layercam,1.44
2026-08-20-run04,f81ba0d,densenet121,densenet121,4,BatchNorm2d,features.0.norm5,3,3,429,436,0.9862,60,0.062225181534756716,0.03551002946199376,0.34750336285343403,0.5833333333333334,0.0247508257802674,0,1,1,layercam,1.32
