run_id,commit_sha,backbone,internal_name,n,path_taken,module_class,module_path,spatial_h,spatial_w,dice,dice_published,dice_delta,iou,iou_published,iou_delta,dice_size_matched,dice_size_matched_published,dice_size_matched_delta,pointing_acc,pointing_acc_published,pointing_acc_delta,energy_mean,energy_mean_published,energy_mean_delta,threshold_pct,checkpoint_mtime,published_mtime,n_zero_cam
2026-08-20-run04,0784156,mobilenetv3_small,mobilenet_v3_small,60,auto,Hardswish,features.0.12.2,2,2,0.0017450980391130334,0.0379402329634168,-0.03619513492430377,0.0009207531553328727,0.0201443754177251,-0.01922362226239223,0.0018007662834214116,0.0175956514553711,-0.01579488517194969,0.0,0.0,0.0,0.0192990953095481,0.0204531451679111,-0.0011540498583629995,0.8,2026-07-14 09:01,2026-08-04 10:25,0
2026-08-20-run04,0784156,efficientnet_b0,efficientnet_b0,60,auto,SiLU,features.0.8.2,2,2,0.0013022338424054291,0.0609530078527337,-0.05965077401032827,0.0006752281356810651,0.035312788798785,-0.03463756066310394,0.0015325670497203505,0.0666748653941604,-0.06514229834444005,0.0,0.0833333333333333,-0.0833333333333333,0.018803679741218424,0.0562671474251851,-0.037463467683966675,0.8,2026-07-14 10:20,2026-08-04 10:25,0
2026-08-20-run04,0784156,densenet121,densenet121,60,auto,BatchNorm2d,features.0.norm5,3,3,0.062225181534756716,0.1030019494159562,-0.04077676788119948,0.03551002946199376,0.0629595705283734,-0.027449541066379632,0.34750336285343403,0.4702929836895999,-0.12278962083616585,0.5833333333333334,0.7166666666666667,-0.1333333333333333,0.0247508257802674,0.0309380842397605,-0.006187258459493101,0.8,2026-08-04 16:42,2026-08-04 10:25,0
2026-08-20-run04,0784156,resnet50,resnet50,60,auto,Bottleneck,features.7.2,2,2,0.0030129092562910854,0.1181412300103326,-0.11512832075404152,0.0015683101271446633,0.0702931558090258,-0.06872484568188114,0.0020498084290009686,0.1460606680530166,-0.14401085962401564,0.0,0.1166666666666666,-0.1166666666666666,0.01982152172303274,0.0533850117547151,-0.03356349003168236,0.8,2026-07-14 10:35,2026-08-04 10:25,0
2026-08-20-run04,0784156,vgg16,vgg16,60,auto,MaxPool2d,features.0.30,2,2,0.0025494954461517724,0.0913828277930889,-0.08883333234693713,0.0013323570714289725,0.0596769814549561,-0.058344624383527124,0.0018965517240289338,0.178481361349592,-0.17658480962556306,0.0,0.2,-0.2,0.020103845200121217,0.1027335230675553,-0.08262967786743408,0.8,2026-07-14 10:41,2026-08-04 10:25,0
2026-08-20-run04,0784156,vit_base,vit_b_16,60,fallback,LayerNorm,features.encoder.layers.encoder_layer_11.ln_1,,,0.03569182996195316,0.0356918299619531,5.551115123125783e-17,0.01979526823735684,0.0197952682373568,4.163336342344337e-17,0.014974401403883609,0.0149744014038836,8.673617379884035e-18,0.0,0.0,0.0,0.007354051570139628,0.0073540515701396,2.7755575615628914e-17,0.8,2026-07-14 10:48,2026-08-04 10:25,53
2026-08-20-run04,0784156,inceptionv3,inception_v3,60,auto,InceptionC,features.14,4,4,0.09546097433010556,0.089993158443312,0.005467815886793556,0.05762567640271934,0.050230262777577,0.007395413625142337,0.04560960192772227,0.1647413589628484,-0.11913175703512613,0.03333333333333333,0.2,-0.16666666666666669,0.043481810452702836,0.0377967728896837,0.005685037563019135,0.8,2026-07-28 09:47,2026-08-04 10:25,0
2026-08-20-run04,0784156,xception,xception,60,auto,ReLU,features.act4,3,3,0.028644987256152003,0.0716375404408926,-0.0429925531847406,0.018354172140889836,0.0479401702869124,-0.029585998146022564,0.03384182018084124,0.1518953272875864,-0.11805350710674516,0.06666666666666667,0.2,-0.13333333333333336,0.019659728767752748,0.0464370175767779,-0.026777288809025152,0.8,2026-07-28 10:11,2026-08-04 10:25,0
2026-08-20-run04,0784156,googlenet,googlenet,60,auto,Inception,features.15,3,3,0.09009910809251125,0.0349545091915225,0.055144598900988745,0.05419250653921794,0.0188720703120392,0.035320436227178745,0.2597236504050939,0.011328775427613,0.24839487497748086,0.5,0.0,0.5,0.030896920750609933,0.0,0.030896920750609933,0.8,2026-07-28 10:18,2026-08-04 10:25,0
2026-08-20-run04,0784156,convnext_tiny,convnext_tiny,60,auto,CNBlock,features.0.7.2,3,3,0.10912365545050878,0.1091236554505087,8.326672684688674e-17,0.06527184485515106,0.065271844855151,5.551115123125783e-17,0.4442796021341405,0.4442796021341405,0.0,0.7166666666666667,0.7166666666666667,0.0,0.04778946844055489,0.0477894684405548,9.020562075079397e-17,0.8,2026-07-28 10:25,2026-08-04 10:25,0
2026-08-20-run04,0784156,inception_resnet_v2,inception_resnet_v2,60,auto,Block17,features.repeat_1.19,4,4,0.11745563991844861,0.1199206489360661,-0.002465009017617495,0.0708721499562406,0.0726437411797219,-0.0017715912234813058,0.0713395836848358,0.3089026266915926,-0.2375630430067568,0.1,0.3833333333333333,-0.2833333333333333,0.046204714258046425,0.0669210758969542,-0.020716361638907776,0.8,2026-07-28 10:36,2026-08-04 10:25,0
2026-08-20-run04,0784156,densenet201,densenet201,60,auto,BatchNorm2d,features.0.norm5,3,3,0.0970199609950789,0.0970199609950789,0.0,0.05761908498090026,0.0576190849809002,5.551115123125783e-17,0.4322087131178939,0.4322087131178939,0.0,0.7,0.7,0.0,0.031489475233563886,0.0314894752335638,8.326672684688674e-17,0.8,2026-07-28 11:00,2026-08-04 10:25,0
