run_id,commit_sha,backbone,subsets,in_localization12,in_efficiency7,in_optimizer4,cam_input_size,n_samples,module_path,module_class,spatial_h,spatial_w,path_taken,n_zero_cam,params_M_any_res,pointing_acc,pointing_acc_ci_lo,pointing_acc_ci_hi,pointing_acc_hits,dice,dice_ci_lo,dice_ci_hi,iou,iou_ci_lo,iou_ci_hi,dice_size_matched,dice_size_matched_ci_lo,dice_size_matched_ci_hi,energy_mean,energy_mean_ci_lo,energy_mean_ci_hi,dice_published,dice_delta,iou_published,iou_delta,dice_size_matched_published,dice_size_matched_delta,pointing_acc_published,pointing_acc_delta,energy_mean_published,energy_mean_delta,params_M,gflops,latency_cpu_ms_median,latency_cpu_ms_iqr,latency_gpu_ms_median,latency_gpu_ms_iqr,peak_mem_gpu_mb,auc_mean,auc_std,auc_per_M_params,efficiency_input_size,ci_method,n_bootstrap
2026-08-20-run04,2f7cea5,mobilenetv3_small,localization12,1,0,0,64,60,features.0.12.2,Hardswish,2.0,2.0,auto,0,0.9280000000000002,0.0,0.0,0.06017185214208986,0,0.001745098039113,0.0,0.0052352941173391,0.0009207531553328,0.0,0.002762259465998615,0.0018007662834214,0.0,0.005402298850264235,0.0192990953095481,0.011089506507549892,0.029927264773623195,0.0379402329634168,-0.0361951349243037,0.0201443754177251,-0.0192236222623922,0.0175956514553711,-0.0157948851719496,0.0,0.0,0.0204531451679111,-0.0011540498583629,,,,,,,,,,,,"pointing_acc: Wilson score 95%; dice/iou/dice_size_matched/energy_mean: percentile bootstrap 95% over per-sample rows, B=10000",10000
2026-08-20-run04,2f7cea5,efficientnet_b0,localization12+optimizer4,1,0,1,64,60,features.0.8.2,SiLU,2.0,2.0,auto,0,4.01,0.0,0.0,0.06017185214208986,0,0.0013022338424054,0.0,0.0038470712350331827,0.000675228135681,0.0,0.0019958158287901916,0.0015325670497203,0.0,0.004597701149161051,0.0188036797412184,0.010961953434155722,0.02846177682324709,0.0609530078527337,-0.0596507740103282,0.035312788798785,-0.0346375606631039,0.0666748653941604,-0.06514229834444,0.0833333333333333,-0.0833333333333333,0.0562671474251851,-0.0374634676839666,,,,,,,,,,,,"pointing_acc: Wilson score 95%; dice/iou/dice_size_matched/energy_mean: percentile bootstrap 95% over per-sample rows, B=10000",10000
2026-08-20-run04,2f7cea5,densenet121,localization12+efficiency7,1,1,0,96,60,features.0.norm5,BatchNorm2d,3.0,3.0,auto,0,6.956,0.5833333333333334,0.45728081022640116,0.6993572144165838,35,0.0622251815347567,0.0401410646010607,0.09003170786423703,0.0355100294619937,0.021341711294288326,0.05457688718446043,0.347503362853434,0.2654949101440726,0.4312445878268984,0.0247508257802674,0.015176616144635157,0.037357540595724686,0.1030019494159562,-0.0407767678811994,0.0629595705283734,-0.0274495410663796,0.4702929836895999,-0.1227896208361658,0.7166666666666667,-0.1333333333333333,0.0309380842397605,-0.0061872584594931,6.956,1.0649,17.344,0.173,6.718,0.233,164.78,0.893976,0.022185,0.128519,96.0,"pointing_acc: Wilson score 95%; dice/iou/dice_size_matched/energy_mean: percentile bootstrap 95% over per-sample rows, B=10000",10000
2026-08-20-run04,2f7cea5,resnet50,localization12+optimizer4,1,0,1,64,60,features.7.2,Bottleneck,2.0,2.0,auto,0,23.512,0.0,0.0,0.06017185214208986,0,0.003012909256291,2.447381301827e-05,0.007353141251916687,0.0015683101271446,1.2245897623395e-05,0.0038465587181950615,0.0020498084290009,0.0,0.006149425287002905,0.0198215217230327,0.011683530815935114,0.029847366019226565,0.1181412300103326,-0.1151283207540415,0.0702931558090258,-0.0687248456818811,0.1460606680530166,-0.1440108596240156,0.1166666666666666,-0.1166666666666666,0.0533850117547151,-0.0335634900316823,,,,,,,,,,,,"pointing_acc: Wilson score 95%; dice/iou/dice_size_matched/energy_mean: percentile bootstrap 95% over per-sample rows, B=10000",10000
2026-08-20-run04,2f7cea5,vgg16,localization12+optimizer4,1,0,1,64,60,features.0.30,MaxPool2d,2.0,2.0,auto,0,14.716,0.0,0.0,0.06017185214208986,0,0.0025494954461517,0.0,0.006811444747052109,0.0013323570714289,0.0,0.003596970202464386,0.0018965517240289,0.0,0.005689655172086801,0.0201038452001212,0.011299637524696282,0.03141072096175439,0.0913828277930889,-0.0888333323469371,0.0596769814549561,-0.0583446243835271,0.178481361349592,-0.176584809625563,0.2,-0.2,0.1027335230675553,-0.082629677867434,,,,,,,,,,,,"pointing_acc: Wilson score 95%; dice/iou/dice_size_matched/energy_mean: percentile bootstrap 95% over per-sample rows, B=10000",10000
2026-08-20-run04,2f7cea5,vit_base,localization12,1,0,0,224,60,features.encoder.layers.encoder_layer_11.ln_1,LayerNorm,,,fallback,53,85.8,0.0,0.0,0.06017185214208986,0,0.0356918299619531,0.020088812157273036,0.05573469234648941,0.0197952682373568,0.010414347524922055,0.03291580873049963,0.0149744014038836,0.002395884824150344,0.03427326451655047,0.0073540515701396,0.0005225105275399117,0.01961061530074497,0.0356918299619531,5.551115123125783e-17,0.0197952682373568,4.163336342344337e-17,0.0149744014038836,8.673617379884035e-18,0.0,0.0,0.0073540515701396,2.775557561562892e-17,,,,,,,,,,,,"pointing_acc: Wilson score 95%; dice/iou/dice_size_matched/energy_mean: percentile bootstrap 95% over per-sample rows, B=10000",10000
2026-08-20-run04,2f7cea5,inceptionv3,localization12+efficiency7,1,1,0,96,60,features.14,InceptionC,4.0,4.0,auto,0,21.79,0.0333333333333333,0.009189319256197877,0.113637742743086,2,0.0954609743301055,0.062414147827716406,0.13354394424319876,0.0576256764027193,0.034299567586226876,0.08539380974396517,0.0456096019277222,0.012723101281083489,0.08757651570697465,0.0434818104527028,0.02401114131235915,0.06768821782482815,0.089993158443312,0.0054678158867935,0.050230262777577,0.0073954136251423,0.1647413589628484,-0.1191317570351261,0.2,-0.1666666666666666,0.0377967728896837,0.0056850375630191,21.79,0.6828,12.054,0.072,5.021,0.396,222.14,0.899223,0.025964,0.041268,96.0,"pointing_acc: Wilson score 95%; dice/iou/dice_size_matched/energy_mean: percentile bootstrap 95% over per-sample rows, B=10000",10000
2026-08-20-run04,2f7cea5,xception,localization12+efficiency7,1,1,0,96,60,features.act4,ReLU,3.0,3.0,auto,0,20.811,0.0666666666666666,0.026228698724506214,0.1592535731319717,4,0.028644987256152,0.005951858766767967,0.05911953215044272,0.0183541721408898,0.0034967363342510837,0.03912677485922545,0.0338418201808412,0.006963259441257692,0.06984369120812293,0.0196597287677527,0.009210371602228342,0.03323052916659153,0.0716375404408926,-0.0429925531847406,0.0479401702869124,-0.0295859981460225,0.1518953272875864,-0.1180535071067451,0.2,-0.1333333333333333,0.0464370175767779,-0.0267772888090251,20.811,1.6683,14.769,0.242,2.596,0.098,93.5,0.891076,0.028282,0.042818,96.0,"pointing_acc: Wilson score 95%; dice/iou/dice_size_matched/energy_mean: percentile bootstrap 95% over per-sample rows, B=10000",10000
2026-08-20-run04,2f7cea5,googlenet,localization12+efficiency7,1,1,0,96,60,features.15,Inception,3.0,3.0,auto,0,5.602,0.5,0.3773502424155577,0.6226497575844423,30,0.0900991080925112,0.057971714810486984,0.12821299858592694,0.0541925065392179,0.03221777906784973,0.08094745856235522,0.2597236504050939,0.1889841812654846,0.33295455669189855,0.0308969207506099,0.018374907855738015,0.045908863864321525,0.0349545091915225,0.0551445989009887,0.0188720703120392,0.0353204362271787,0.011328775427613,0.2483948749774808,0.0,0.5,0.0,0.0308969207506099,5.602,0.5558,8.315,0.061,3.065,0.136,159.2,0.89616,0.011914,0.159971,96.0,"pointing_acc: Wilson score 95%; dice/iou/dice_size_matched/energy_mean: percentile bootstrap 95% over per-sample rows, B=10000",10000
2026-08-20-run04,2f7cea5,convnext_tiny,localization12+efficiency7,1,1,0,96,60,features.0.7.2,CNBlock,3.0,3.0,auto,0,27.82,0.7166666666666667,0.5923271483560882,0.8149317157156729,43,0.1091236554505087,0.07489966735764661,0.148450812786945,0.065271844855151,0.04224186505737025,0.092692431081116,0.4442796021341405,0.3687947055048822,0.5179589411398452,0.0477894684405548,0.032256613656566145,0.06587631393295855,0.1091236554505087,8.326672684688674e-17,0.065271844855151,5.551115123125783e-17,0.4442796021341405,0.0,0.7166666666666667,0.0,0.0477894684405548,9.020562075079396e-17,27.82,1.6486,12.703,0.077,2.518,0.089,125.53,0.905506,0.021974,0.032549,96.0,"pointing_acc: Wilson score 95%; dice/iou/dice_size_matched/energy_mean: percentile bootstrap 95% over per-sample rows, B=10000",10000
