run_id,commit_sha,input_size,checkpoint_mtime,backbone,unfreeze_pct,fold,n_child_open,n_child_total,n_trainable,n_total,n_batchnorm,inner_val_auc,outer_auc_merged,outer_auc_full,n_val_merged,n_val_full,stage1_epochs_ran,stage2_epochs_ran,best_stage,total_time_sec
2026-08-22-run03,82a313a,96,2026-08-22T16:47:50,convnext_tiny,10,0,1,8,14290946,27820130,0,0.80636,0.87194,0.877258,292,299,20,20,unfreeze_10,52.2
2026-08-22-run03,15bc8a4,96,2026-08-22T16:49:38,convnext_tiny,0,0,0,8,1538,27820130,0,0.719217,0.806073,0.811115,292,299,20,32,unfreeze_0,58.1
2026-08-22-run03,15bc8a4,96,2026-08-22T16:51:00,convnext_tiny,0,1,0,8,1538,27820130,0,0.704974,0.748448,0.748448,254,254,20,49,unfreeze_0,79.2
2026-08-22-run03,15bc8a4,96,2026-08-22T16:52:23,convnext_tiny,0,2,0,8,1538,27820130,0,0.780897,0.745877,0.743748,266,268,20,50,unfreeze_0,77.3
2026-08-22-run03,15bc8a4,96,2026-08-22T16:53:41,convnext_tiny,0,3,0,8,1538,27820130,0,0.772027,0.742019,0.745854,303,307,20,50,unfreeze_0,77.1
2026-08-22-run03,15bc8a4,96,2026-08-22T16:55:06,convnext_tiny,0,4,0,8,1538,27820130,0,0.771935,0.734388,0.731121,251,263,20,50,unfreeze_0,80.9
2026-08-22-run03,15bc8a4,96,2026-08-22T16:56:20,convnext_tiny,10,1,1,8,14290946,27820130,0,0.820365,0.824377,0.824377,254,254,20,33,unfreeze_10,72.9
2026-08-22-run03,36ae6e9,96,2026-08-22T16:57:47,convnext_tiny,10,2,1,8,14290946,27820130,0,0.891419,0.831147,0.827558,266,268,20,41,unfreeze_10,82.9
2026-08-22-run03,36ae6e9,96,2026-08-22T16:58:41,convnext_tiny,10,3,1,8,14290946,27820130,0,0.875887,0.79741,0.802882,303,307,20,20,unfreeze_10,50.4
2026-08-22-run03,36ae6e9,96,2026-08-22T16:59:39,convnext_tiny,10,4,1,8,14290946,27820130,0,0.860323,0.811163,0.806827,251,263,20,22,unfreeze_10,54.7
2026-08-22-run03,36ae6e9,96,2026-08-22T17:00:33,convnext_tiny,20,0,2,8,15472130,27820130,0,0.803871,0.870373,0.875411,292,299,20,20,unfreeze_20,51.3
