run_id,commit_sha,model,input_size,params_M,gflops,latency_cpu_ms_median,latency_cpu_ms_iqr,latency_gpu_ms_median,latency_gpu_ms_iqr,peak_mem_gpu_mb,input_res,batch_size,n_repeats,n_forwards_per_repeat,gpu_device,torch_version,params_M_published,params_M_delta,gflops_published,gflops_delta,latency_cpu_ms_median_published,latency_cpu_ms_median_delta,latency_gpu_ms_median_published,latency_gpu_ms_median_delta
2026-08-22-run03,ccbfe3d,convnext_tiny,96,27.82,1.6486,24.766,1.941,7.091,0.107,124.66,3x64x64,1,7,50,NVIDIA GeForce RTX 3060,2.3.0+cu121,27.82,0.0,1.6486,0.0,12.703,12.062999999999999,2.518,4.573
2026-08-22-run03,ccbfe3d,densenet201,96,18.097,1.6132,93.456,3.744,32.413,0.715,207.9,3x64x64,1,7,50,NVIDIA GeForce RTX 3060,2.3.0+cu121,18.097,0.0,1.6132,0.0,33.462,59.994,11.324,21.089
2026-08-22-run03,ccbfe3d,densenet121,96,6.956,1.0649,42.477,1.438,20.644,0.709,165.66,3x64x64,1,7,50,NVIDIA GeForce RTX 3060,2.3.0+cu121,6.956,0.0,1.0649,0.0,17.344,25.132999999999996,6.718,13.925999999999998
